reviews,scores
우선 동영상 게시물 몇개가 자동재생이 안될때가 있고 프로필 사진을 바꾸려하면 오류가 났다하며 바꿔지지가 않습니다..핸드폰 재부팅을 해봐도 똑같고요..개선 부탁드립니다,4
인스타가 그냥 아주 먹통이 됐는데 대체 언제 고쳐져요? 이제는 셀카 동영상으로 사람인지 인식하는 것도 안 뜨고 그냥 에러 표시만 떠요 그리고 인식하는 거 떴을 때도 고개를 움직이라는 데로 움직여도 계속 그대로였고,1
프로필 사진이 안 바뀌네요 데이터로 해봐도 안 바뀌고 와이파이도 4칸 빵빤한디.. 10번 넘게 시도 해 봤는데 안 되네요 ㅋㅋ,1
이해할 수 없는 이유로 일방적으로 정지를 때리는 커뮤니티 가이드라인. 정지를 해제하려고 하면 사진찍으라고 안내해놓고 3일넘게 열람조차 안하는 서포트 결국 아쉬운 건 사용자라는 기만이 너무 불편하다,1
메일은 안보시나요? 지난번도 한번 메일 보냈는데 답장도 안오고 좀전에도 메일 보냈는데 보시지도 않으시고 그렇다고 연락처도 없으시고 인스타 쓰지말라는건가요?,1
"피드 수정할 때 위치, 글은 수정이 가능한데 사진도 수정할 수 있게 개선해주셨으면 합니다. 사진 수정하고싶은데 못해서 아쉽네요..",5
제트플립3 사용시 피드를 보는데 자꾸 두 개의 동영상 게시물이 같이 보여 재생됩니다. 한 개씩만 재생됐으면 좋겠는데 확인 부탁드립니다.,2
작은 오류가 너무 많음. 임시저장 피드 날라가고 갑자기 새로고침이 안되고 피드 작성하다 잠깐 다른거 하다오면 또 다 날라가고 그놈의 세로사진 비율은 언제 반영해줄건지 모르겠음. 이것이 과연 세계에서 손꼽히는 회사의 어플인가? 싶을 정도임.,1
요즘들어서 멈추거나하는 오류가 많이 심하네요.짜증나게;,1
피드를 새로고침할 수 없다는 문구만 뜨고 아예 계정에 안 들어가지면 어떻게 해결해야하나요?? 계정에 들어가질 않으니 문제해결을 위해 고객센터 연결도 안 되구요ㅠㅠ 🥲,1
아니 핸드폰 전원 다시켰더니 계정에 들어갈수가 없네요ㅠㅠ 이게 무슨 황당한 일인지 1년넘게 사용한 계정 엎어야할가요? 빨리 로그인이라도 될수 있게 해주세요~,1
인스타그램을 자주 사용하는 유저인데요 프로필 사진을 바꾸려는데 오류가 났다며 계속 와이파이를 다시 연결하라네요 이것 좀 고쳐주세요,2
"동영상 올릴 때, 전처럼 대표이미지 선택할 수 있게 해주세요. 짧은 동영상은 igtv로 안올라가게 해주세요.",3
인스타 실행이안되는대 답변좀주세요 피드를수정할수없다고 실행도안되요 왜이러는거죠?,1
피드 에러 도대체 언제 고쳐 줄건지 진짜...재부팅 재설치 등등 별짓 다 해도 안되고,2
라이브 댓글창 오류가 너무 심함 .라이브 볼 때 마다 어플 삭제했다가 다시 받아야 하는 지경 ...,1
지금 리뷰 계속 지우시는데 보안코드 문자도 안 오고 크로스워크 브라우저 라는 곳이라는 모르는 브라우저에서 로그인 했다는 메일 계속 오는데 빨리 조치 취해주세요. 아니면 언론사에 제보 할겁니다.,1
올려놓은 사진과 영상이 제 휴대폰에서만 볼수없는 이 기이한 에러를 해결해주시지 못하네요ㅜㅜ,3
프로필사진 변경이 왜이리 안되나요? 진짜 쓰는 사람만 적으면 인스타안쓰고 싶습니다. 쓰는 사람이 많으니까 프로그램을 이리 엉망으로 만들어놓고도 그냥 버티는거지.,1
원래 많이 사용했던 앱이었는데 얼마전부터 네트워크가 원활하지 않다고 했다가 어제 다시 들어가서 게시글을 올리려고 하니 특정활동 제한이 뜨더라구요? 요즘 들어간 적도 많이 없고 좋아요도 얼마 안 눌렀는데 왜 뜨는지 이해가 안 되네요. 좋아요도 잘 눌러지는데요. 빨리 해결되었으면 합니다. 이 때문인지 사용하기가 싫어지네요. 다시 로그인해도 똑같으니..,1
스토리 클릭시 터치가 안되고 재생바가 움직이지 않는데도 시간이 지나면 넘어감. 거지같은 랙,1
"스토리 만들때 텍스트 안써지는 버그, 화면 밝기 낮아지는 버그 등등 왜 아직도 안고쳐지는지 이해가 안됨",1
아 알고리즘 좀 비활성화된 계정?? 친구들이 하다 접어서 그렇게된건 어캄? 게다가 수정할때 사진좀 추가할 수 있게해주면 안됨??? 도대체 왜 그런 기본적인 기능이 없는거임. 하나씩 빼먹고 올리면 개빡침. 영어로 쓸까??,3
갑자기 얼굴인식하라고 뜨면서 그 다음에는 아에 먹통이네요 빨리 해결 부탁드립니다,1
영상피드에올리는데 왜 계속 게시물을 올릴수없다고 나오는거죠..인스타 업데이트를 해도 계속안된대요~~~ 아나답답ㄴ흐미쳐,2
너무좋아용!!💗💗그리고 안좋은점이 있어요ㅠㅠ 스티커를 구하기가 어렵고 쳐봐도 안나오는 스티커가 종종 있습니댱 ㅠㅠ😭 그래도 좋아용!,5
어제부터 이미지를 로드할수없다고 떠서 삭제하고 다시 깔았는데도 처음엔 괜찮다가 몇분지나면 다시 이미지를 로드할수없다고 뜹니다.,1
인스타는 왜 꼭 사진을 찍어 리사이즈하게 만드나요? 이것때문에 모든 사람들이 불편해하는데 고칠생각은 전혀 안하는게 이해가 안됩니다. 고정비율2:3과 3:2 선택해서 올릴수 있도록 개선해주세요.,1
