reviews,scores
방금 업데이트 했는데요 댓글 창 오래동안 열지 못하네요 😡,1
예전엔 그냥 가끔가다 광고가 하나씩만 나오고 끝이였는데 이젠 시작할때만 해도 2개가 나오고 중간중간에 하나씩 나오는데다 이젠 화질설정도 어려운데다가 고화질로 바꿔도 바로 저화질로 바꿔지고 광고는 또 고화질이네요. 유튜브도 이젠 돈에 눈이 멀어가나봅니다.,1
스크롤해서 재생영역 옮기기 짜증나요,1
광고가 1개 있는 것도 모자라 2개.... 게다가 15초이고 관심없는 광고인데.... 그리고 왜 2개 광고를 하는지도 잘 모르겠습니다.... 유트브 떡락하길 바랍니다...,1
저번달부터 보관함만 클릭하면 렉걸림... 거의 8할은 렉걸려서 사용하기 넘 불편함....,1
영상에 렉이 자주 발생합니다 렉좀 고치세요 진짜로 영상을 보는데 불편합니다,1
쇼츠 on off 만들어주세요. 꼴도 보기 싫은게 계속 보이니 유튜브에 손이 안갑니다.,1
갑자기 구독한 채널영상 알림이 안울립니다 설정을 다시해봐도 안돼네요,1
영상 보고있는데 계속 끊기고 강제 종료되요 와이파이 5개 뜨는데 저만 이러는 것도 아니더라구요 이 문제 해결해주세요..,1
찾을때 좋고 모를때 많이보지만 퍼온영상도 있어요..,3
진짜 너무 끊기네 영상,1
렉이 심하고 자꾸 꺼지네요 서버가 아주 쓰레기같아요,1
너무좋아요 ! 단점이있다면 광고가너무많아요,5
Shorts 짧은 영상을 보면 가끔 소리가 안나오는 오류가 있어요. 이것만 고쳐주세요!,2
역대급 쓰레기 업데이트 절대 하지마시길; 전체화면이나 화질설정이나 자막 설정 보려고 영상 한번 터치하면 상단에 뜨는거 이제는 안나와요 화면 누르면 진동울리고 영상 시간조절만 됩니다 답답해 뒤져요,1
광고를 도대체 몇개나 넣으시는건가요? 광고만 보라고 하시는건가요?,1
다 좋은데 보관함에만 들어갈려고 하면 종료됩니다 ㅠ,3
요즘 광고 왜 이리 많죠.,1
안녕하세요.현재 800구독자 계정을 가진 사람이예요.제가 친한 지인이랑 같이 귀요미라 해서 장난으로 서로 공런화를 올렸는데 몇일뒤에 일주일 어쩌구 뒤에 계정이 삭제 된다 하더라고요..하 이거 고쳐주세요 저 걔삭 되기 전에,3
슬라이드? 기능 누가만들었냐. 화면 터치만해도 막넘어가네 그냥. 뭘할수가없잖아 ㅡㅡ 아니 어떤 인간이 이렇게 만들어놓고 이걸 진심 편하다고 쳐넣은거야? 영상하나 클릭하면 영상광고2개에 밑에 댓글창광고에 아주 광고가 두세겹으로 겹겹이 둘러싸네 ㅋㅋㅋㅋ 와 진짜 유튜브 갈데까지갔구나.,1
네 안녕하세요..! 유튜브 일상생활만이라는 채널을 운영하는 사람입니다 혹시 베타기는(Shorts) 가 왜 안돼는지 궁금하네요..앱은 정말 좋고 재밌는 영상도 올라옵니다! 하지만 저만 쇼츠 동영상이 안된다는 게..조금..고쳐주셨스면 하네요!ㅎㅎ 아니면 베타 인원을 조금 늘리던지 이런 방법으로 베타 쇼츠 동영상좀 올릴수 있게 해요세요..! 항상 힘내세요:),5
유튜브 프리미엄 결제하면서 쓰고 있는데 어느 순간부터 갑자기 계속 버퍼링 걸리거나 끊겨서 보기도 힘듭니다.,1
업데이트 이후 기능들이 너무 불편하네요. 슬라이드 기능을 이용하고싶지 않습니다. 화면 디자인도 전보다 보기 어렵습니다.,1
1. 영상제목 옆 화살표버튼을 클릭해야만 상세설명을 볼 수 있는 점. 기존에는 따로 안눌러도 볼 수 있었던거 같았는데 업데이트 이후 눌러야만 볼 수 있네요. 2. 자막 자동출력 문제. 자막을 꺼놔도 몇몇 영상을 들어가면 자동으로 자막이 출력되는 문제가 발생합니다. 자막사용중지로 해놨어도 자막이 켜지는 문제입니다. 3. 자동화질변경 고화질로 설정해놨어도 화질설정이 변경됩니다. 이전에는 네트워크 사정에따라 버퍼링이었는데 이제는 다운그레이드로 재생을 해버리네요.,1
내가 영상올리면 노딱 (저작권어긴)광고는 초딱 AI 상태가 심각함,1
프리미엄 사용중인데 요즘 돈아까워 미칠노릇. 영상은 5초에 한번씩 끊기고 어플 최소화했을 때도 원래는 계속 재생되었지만 최근엔 전혀 안되고있음 유튭을 아예 켜놔야 함 프리미엄 사용하는 의미가 없음 얼른 개선되길 바람,1
아오 이넘의 유투브는 업뎃할때마다 버그가많냐 pip실행중 영상이 상단으로 안올라가고 백그라운드로 돌아감 숏츠에만 집중말고 버그나 잡아내시지요??????,1
유튜브 프리미엄 쓰고잇는데 그냥 쓰고있을때는 안 멈추는데 오프라인 저장만 하면 유튜브가 멈춰요... 이거 쫌 고쳐주세요....,1
광고 너무 많음.... 첫 광고가 15초 못넘기고 이제 광고만 업그레이드임,1
최근에 업데이트 하더니 버그가 하나 늘었네요. 보다 만 동영상을 누르면 소리만 나오고 영상은 버퍼링이 계속 돌아가는데 이게 대체 뭔가요? 그거 때문에 영상 다시 틀게 하는 건 뭐 손가락 운동이라도 하라는 건지 뭔 프리미엄 하라고 계속 광고하는 것도 모자라 광고 수도 늘리더니 앱 품질은 왜 떨어지는 건데요. 무슨 물리적인 제품도 아니고 앱 기동하는 원자재 값이라도 올라서 품질이 떨어졌나요? 대체제가 없어서 그렇지 생기면 바로 삭제하고 싶네요,1
하... 2일 전까지만 해도 검색하고 바로바로 보고싶은 영상을 찾아볼수 있었는데 요즘따라 바로바로 안뜨고 와이파이를 연결해도 데이터를 켜야지만 검색이 가능하네요... 어떻게 된거죠? 홈화면에 나와있는 영상도 데이터를 켜봐도 3분보고 끊어지고 하네요.... 요즘 왜이러죠? 별 1개주기도 아까워요. 이거 고쳐주세요,1
유튜브 쇼츠 영상 재생목록에 저장 하고 싶은데 쉽게 쉽게 저장이 안돼네요 채널 들어가서 하나하나 내려서 찾아야 저장할수 있는데 영상 볼때도 저장할수 있게 해주세요 부탁드립니다 그리고 쇼츠도 영상 되감기나 넘기기 할수 있게 해주세요 보고싶은부분 바로바로 다시 못봐서 짜증나네요 틱톡 따라하는거라면 굳이 따라할 필요 있나 싶습니다,2
광고후에재생되는건너무한거아닌가요?,1
왜 동영상과 재생목록 칸이 합쳐져서 분리가 안되는 거죠? 진짜 불편해서 사용할때마다 스트레스 받네요,1
노트9 사용 중인데 높은 화질로 설정해도 영상 틀 때마다 144p로 되는거 굉장히 불편합니다,1
보고 싶은걸 볼수있어서 재밌어요 여러분 이거 꼭 까세요,5
광고 문제가 요즘들어 더 심해지고 있습니다 영상은 살짝만 성적이어도 19인데 광고는 욕나올정도로 드럽네요 그리고 댓글중에 음란물 홍보성글...이건 유튜브 자체에서 걸러주진 않나요? 사용자가 직접 신고해야하고.... 버그도 많습니다 영상을 밑으로 내려도 위로 올라오고 그리고 화질을 최대로 바꿔도 갑자기 화질 낮아지고.....차라리 광고 화질이나 낮춰주진않나요?,1
"오류가 왜 이렇게 많아요.... 전세계 사람들이 사용하는만큼 발전을 해야지 업데이트 한답시고 매일 오류만 한가득...댓글창 안 뜨는 오류(유튜버 설정 아니고 앱 껐다키면 댓글 뜸), 댓글 내릴 때 위로 올라가는 오류, 댓글이랑 동시에 보면 영상 버벅거리는 오류, 다음영상 리스트 보려는데 아래로 안 내려가는 오류 등 오류가 너무 많아요 제발 좀 새로운거 하려는거보다 지금 하는것들이나 제대로 하셨음 좋겠네요",1
쇼츠 기능 너무 싫어요... 개인에 따라 기능 끌 수 있게 설정할 수 있으면 좋겠어요.,2
