date,score,score_category,review
2015.07.31,-,-,"아넥스... 별관이죠? 포도호텔 계열이고 포도호텔 가까이 있는 곳이예요 관광지와는 떨어져 있지만, 조용한 휴식을 위해서는 정말 좋은 곳입니다. 비오토피아 내에 있는 이타미준의 물바람돌 박물관도 걸어서 갈수 있고 방주교회, 본태박물관도 걸어서 갈 수 있구요 제가 갔을때는 아넥스에서 포도호텔 이동도 가능해서 렌트도 안하고 주변 산책하며 잘 쉬다 왔어요 직원분들도 너무 친철하시고, 온천도 좋아요 수영장이 규모가 작긴 해도 유아풀도 있고 통유리로 되어 있어서 채광도 좋구요 완전 만족하고 왔네요~"
2015.07.31,-,-,"일단 호텔이 생긴지 얼마되지 않았는지 평이 많지 않아서 조금 망설이긴 했지만, 위치부터 일단 너무 마음에 들었습니다. 한적한 숲속에 있어서 그런지, 저녁에 새소리며 아늑하게 자연을 즐길 수 있었고, 가장 좋았던 것은 실내수영장과 온천이 너무나도 잘되어있었습니다~ 특히 온천물이 얼마나 좋던지~!!! 몇일동안 피부가 보들하네요 ㅎㅎ 강추 합니다~!!!!!"
2015.08.01,-,-,"ㅇ 깔끔하고 친절하고 편리함. ㅇ 오픈특가에서 가격이 올라가면 어떨지 모르겠지만, 현재 가격 수준에서는 최상급 선택으로 생각함."
2015.08.03,-,-,성수기에 좋은가격으로 잘 이용했습니다. 프론트 직원분도 친절하시고 사우나가 참 좋았어요. 방에서 새집 냄새에 눈이 좀 따가웠지만 이건 곧 없어질것이고.. 주변에 추천할것같아요. 가격대비 너무 만족한 스테이였습니다~
2015.08.05,-,-,찾아가기가 어려웠어요. 새 건물이라 새 건물 냄새나요. 특가로 온천 무료이용이라 좋았구요 새로생긴곳이라 사람 많지 않아서 좀 편하게 지내다 나왔네요.
2015.08.06,-,-,정말 조용하고 한적하고 좋아요 깔끔하고 .. 주변 환경이나 위치가 조용히 쉬기에 너무 딱인거 같아요
2015.08.16,-,-,본태박물관 바로 옆에 위치 조용하고 깨끗한 시설에 만족 수영장 이용시 수영모만 허용되므로 수영하실분은 갖고 가시길
2015.08.16,-,-,시설자체를 매우 훌륭하다고 생각합니다. 그 가격에 그정도 시설이면 제주도에서 찾기 힘들정도로.. 물론 시간이 지나면 가격이 올라갈 것으로 예상되지만 조용하고 한적하고 호텔에서 바라보는 경치는 매우 좋았습니다. 하지만 아직 투숙객이 많지 않은 관계로 조식이 조금 부실한 감이 없지 않았습니다. 조식만 제외한다면 다시 투숙하고 싶다는 생각이 듭니다.
2015.08.17,-,-,"조용하고 한적하니 너무 좋았네요. 다만 시내하고 약간 거리가 길어서 이동하기가 힘들었었지만~ 그래도 조용하니 잘 쉴 수 있었어요, 깨끗하니 쾌적해서 만족했습니다^^"
2015.08.18,-,-,디 아넥스 정말 좋습니다. 뷰도 좋고 조용하고 서비스도 정말 좋습니다. 온천도 작았지만 저는 좋았습니다. 전날 롯데시티호텔에 숙박했었는데 롯데시티호텔이랑은 비교도 안되게 너무 좋았습니다. 다음에 제주도 가게 된다면 다시 들리고 싶어요.
