date,score,score_category,review
2005.06.10,-,-,"한라산스탠다드(본관) : 객실(산전망 본관 1~4층) + 2인조식제공 허니문2박패키지(스탠다드본관) : 객실(산전망 본관 1~4층) 2박 + 2인조식제공 허니문2박패키지(디럭스본관) : 객실(바다전망 본관 3~4층) 2박 + 2인조식제공 허니문3박패키지(스탠다드본관) : 객실(산전망 본관 1~4층) 3박 + 2인조식제공 허니문3박패키지(디럭스본관) : 객실(바다전망 본관 3~4층) 3박 + 2인조식제공 [허니문패키지 특별혜택-공통사항] - 2인조식제공(주말 1박이상 허니문패키지 이용시 조식쿠폰 1회를 석식-디너뷔페 1회로 사용가능) (단 석식쿠폰이용 기간:4/4~5/30,10/3~11/21, 매주 월요일 18:30분, 야외수영장/""MAGIC SHOW+디너뷔페"" 로 진행) - 로비라운지, 달모리, 비어가든 소정의 음료(허니문와인 또는 맥주) 무료 제공 - 휘트니스클럽(수영장/사우나/라켓볼/테니스)무료이용 - 식음료업장 10% 할인혜택 제공 - 기념품점 10~20%, 포토숍 20%할인 - 고급액자 선물 [추가요금 안내사항] 바다전망 객실요청시 - 본관 3~4층 \70,000 - 본관 5~6층/신관 3~4층 \100,000 - 신관 5~6층 \130,000 - 바다전망 객실요청시 이와같은 별도 추가금액이 있습니다. 사전에 미리 요청하시기 바랍니다 성인 1인추가시 - Extra Bed(\48,400/무료제공) + 조식(\22,990) = \22,990 (3.31까지적용/4.1~5.31 \ 71,390/1박기준 추가비) 소인 1인추가시 - Extra Bed(\48,400/무료제공) + 조식(\15,730) = \15,730 (3.31까지적용/4.1~5.31 \64,130/1박기준 추가비) - 온돌객실의 이불 추가시에도 Extra Bed 추가비와 동일합니다(이불 1채당 \48,400)"
2005.06.14,-,-,본상품에는 2인조식이 포함되어있습니다 바다전망 객실요청시 추가금액이 있습니다.(사전에 미리 요청/문의란 통해 메일요청)
2005.08.05,-,-,"신라호텔 뒷마당에서 찍은 사진입니다. 절벽끝에 흐트러진 유채꽃밭과 멋진 나무 한그루. 뒷마당 자체만해도 극치를 달리고 있습니다. 비록 호텔 비용이 비싸긴 하지만, 매우 직원들도 친절하고 서비스도 또한 최고입니다. 신라호텔은 이 뒤마당을 밖으로 테디베어 뮤지엄등 다양한 볼거리들이 많죠. 거리는 온통 동남아시아 휴양지에 온느낌입니다. 굉장히 거리정비도 잘 해놓았구요! 강추입니다! 다만, 비빔밥이 4만원이었다는 사실만.. ㅡㅜ 눈물을 빼놓을만큼.. 흑"
2006.01.19,-,-,"다른 곳 보다 가장 빠르고 가격도 좋습니다,"
2006.02.27,-,-,"가격이 부담스러워 제주 여행 이틀째에 일박을 했는데 , 다음에 다시한번 또 오고싶은 그림같은 정원과 바닷가, 마치 다른나라에 놀러 온것처럼 너무 좋았습니다. 아침조식도 너무 맛있었구요 특급호텔답게 서비스도 너무 좋더군요 다음에 기회가 된다면 일박이 아닌 이박쯤 여유있게 놀다 오고 싶습니다."
2006.03.13,-,-,분위기도 좋았지만 식사도 맛있었고 매우 즐거운 여행이 되었습니다 친절하고 빠른 업무처리 감사합니다
2006.04.02,-,-,"객실도 좋고, 무엇보다 정원도 아름답고, 참 좋았습니다. 그런데, 벨보이가 짐을 옮겨주면서 생수한병이 무료라고 먹으라더군요. 그래서 안심하고 먹었는데....... 체크아웃할때 그 병이 아니라 플라스틱통안에 있는 물이 무료라고 하면서 돈을 받더군요.. 띵~!!! 호텔 측에서 잘못 안내하고 손님에게 덮어씌우는 것은 좀 그렇더군요.. 그 외에는 다 친절하고 좋았습니다."
2006.06.07,-,-,"인터파크 덕분에 좋은 호텔에 저렴한 가격으로 잘 다녀왔습니다. 아침조식(부페)이 포함이던데^^ 맛이 최고랍니다. 저녁시간에, 풀사이드 부페 강추 입니다. 역시 신라호텔이 음식이 최고군요. 사진은 욕실이랍니다."
2007.02.07,-,-,"역시 신라호텔 제주, 좋았습니다. 시설및 주변 환경등의 잘 조화된 모습및 잘꾸며져 있는 인테리어등에 매료되었다고 할 정도로 좋았습니다. 신라호텔에 대해서 특별히 불만은 없었습니다. 단지 인터파크에 쓰여져 있는 한류엑스포 입장권은 신라호텔측에서 인터파크에서 연락받은적 없다고 자기들은 그런 사실은 모른다고 하여 입장권은 받지 못했습니다. 그리고 사우나/수영장/휘트니스 센터 무료라고 적혀 있는데 다른건 무료 사용 맞고요 사우나는 50% 할인된 금액에 사용 가능합니다. 참고 하시길 바랍니다. 아 그리고 저희는 6개월 애기가 있어 미리 주문시 페밀리 트윈으로 부탁드렸는데 지금 이벤트 기간이라고 특별히 추가 요금없이 extra bed 있는 방으로 업해주셨습니다. 이점은 신라호텔에 감사드리네요..."
2007.06.24,-,-,몇년만에 다시 찾은 곳인데 만족스럽습니다. 본관 7층 객실에 투숙했었는데 내려다보이는 정원과 바다가 예뻤습니다.
