reviews,scores
"남자친구 생일 기념 방문했는데 남자친구가 너무 좋아해서 만족스러웠습니다. 턴다운 서비스 너무 좋았고요! 아쉬운점은 미니컵케익이 미리 준비되지 않았다거나 이름이 제 이름으로 된 점, 팰리스뷰 업그레이드 금액을 잘못 안내받은 점은 좀 아쉬움으로 남습니다. 그래도 나머지가 너무 만족스러워서 다시 방문하고 싶고, 강력 추천드려요!",5
"1. 위치 : 시위를 많이 하는 장소에 위치하고 있어 시위가 있는 날에는 접근성이 좋지 않습니다. 가까운 랜드마크를 방문하시기에는 좋은 위치입니다. 2. 뷰 : 추가금을 지불하고 경복궁이 보이는 팰리스 뷰를 선택하시는 것이 좋습니다. 삶의 질이 높아지며 현재는 한화 55,000원이 추가되는 것으로 판단됩니다. 3. 서비스 및 직원 응대 : 균일하고 친절하며 전문성이 뛰어납니다. 투숙과 관련된 모든 내용을 상세하게 설명을 들을 수 있었습니다. 4. 시설 : 객실 정비는 잘 되어 있고 로비나 전체적인 호텔은 생각보다 규모가 큰 편은 아니나 실용적인 느낌을 받았습니다. 5. 가격 : 룸 레이트는 평일 한정 프로모션으로 크레딧을 받는 것으로 하면 과하지 않다고 생각되며 평소에는 조금 부담이 될 수 있을 것 같았습니다. 6. 전체적으로 좋았던 호텔입니다.",5
"우선 지금까지 여러 호텔을 가보았지만, 포시즌스는 정말 최고에요, 특히 아이랑 숙박시 많은 짐들과 어려움이 있지만, 포시즌스에서 제공하는 키즈 서비스는 정말 감동 이었습니다.",5
룸의 퀄리티도 좋고 직원분들의 응대 및 마인드가 좋았음 재방문의사 있다. 가격이 높지만 퀄리티에 비해서 높다고 생각은 들지 않는다,5
"시설및 청결도가 매우우수하며 직원들이 매우친절. 더마켓키친은 생각보다 별로얐으나 전반적으로 너무 좋았음. 침구, 시설 매우좋음",5
코로나 시대에 국내호텔 호캉스를 자주 가는데 포시즌스는 체크인 여직원 때문에 좀 황당했던 것 빼고는 호텔답게 지내다가 올 수 있었습니다. 몇 번이고 또 갈 의향 있습니다.,5
"체크인 과정에서 짐운반 등 세심한 서비스 와 더불어, 객실내 사진촬영을 권해주셔서 즐겁게 시작한 숙박이었습니다. 제공되는 물품이나 음식들도 모두 만족스러웠습니다. 침구도 최근 경험해본 것들 중에 가장 편안했었습니다.",5
가까운곳으로 휴가를 오기위해 선택한 곳 친절 한 서비스와 편안한 침구 및 시설이 올때마다 만족스럽고 위치도 매우 훌륭함,5
"상당히 오랜만에 방문했지만 여전히 깔끔한 룸컨디션이 인상적입니다. 별도의 로열티 프로그램이 없기 때문에 온전히 포시즌스에 묵고싶다 는 마음이 생겨야 방문을 하게되는듯 합니다. 로비, 발렛파킹, 룸서비스, 하우스키핑, F&B 모두 수준급의 서비스를 보여줍니다. 멤버십등급이 있는 다른 호텔 체인 보다도 더 큰 만족도를 느낄수 있는 부분입니다. 서울도심에서 가격대비 최상의 만족도를 느낄수 있었습니다",5
포시즌호텔을 첫 방문하였습니다 어린 아기와 와이프랑 투숙을 했는데요 유모차도 있고해서 지상에 주차를하고 싶었는데 지상주차장이 없어서 너무 불편했습니다 객실 내 시설은 전반적으로 깨끗 했습니다.,2
다른곳 돌고돌아 결국은 가장 자주 찾게되는곳입니다 기본객실은 거의 대부분 객실이 뷰가 답답하지만 청소상태나 서비스는 특별히 빠지는것 없이 마음이 듭니다,5
"직원분들이 항상먼저다가와 물어봐주고 또 제가 궁금해하는부분에 있어 동행해주며 설명해주었습니다. 객실 컨디션도 정말좋았고, 기분좋은 휴가를 보내고왔습니다",5
"호캉스로 홀로 여행했는데, 침구류도 좋고 태블릿피씨로 바로 주문할 수 있는 시스템도 넘 맘에 들었습니다. 편안한 하루를 보냈어요",5
"포시즌은 바로 회사앞이여서 왠지 선뜻 가겠다는 생각이 안들었었는데, 마침 24시간 스테이 프로모션이 있어서 방문했어요. 이미 정평이 나 있는 것처럼 직원들 너무 친절하시고, 룸컨디션도 정말 좋았어요. 기본 프리미어 룸이였는데, 지금까지 묵었봤던 5성급 호텔들과 비교해도 단연 탑입니다.",5
24hr 투숙으로 서둘러 체크아웃 하지 않아도 되어 좋았습니다. 모든것이 만족스러운 스테이였고 제가 젤 좋아하는 종로쪽을 다니며 숙박할 수 있어서 특히 좋았습니다. 직원분들 부담스럽지 않게 친절하고 방도 넓고 청소 상태도 좋네요. 조만간 엄마랑 또 방문할거에요.,5
"나의 호캉스는 늘 포시즌에서, 포시즌은 늘 옮다! 무더위와 코로나가 기승하는 여름에도 포시즌과 함께! 얼른 휘트니스 멤버쉽까지 가입할 수 있는 능력을 향해서 이번에도 편안한 힐링하고 가며 또 열심히 주어진일에 최선을 다하고 지내려고 합니다. 포시즌은 사랑입니다:)",5
자녀와 함께 세번째 방문이였는데 너무 좋았어요!! 이번엔 룸업그레이드도 하게되어 최고로 만족했습니다! 키즈텐트 이용했는데 아이들이 너무너무 좋아했어요!! 적극추천이에요!!,5
"시설과 서비스는 단연 최고라고 생각합니다. 다만, 비싼게 부담되니 프로모션때를 잘 노리면 좋은 가격에 즐거운 시간을 보낼 수 있는 것 같아요",5
포시즌스 한 달 살기가 버킷입니다ㅠㅠㅠㅠ 친절하고 다정하지만 수준 높은 직원분들의 접객도 너무 좋고 국내 5성급 호텔 중 침구는 최고가 아닐까 싶어요!,5
"시설은 물론 좋았고요, 직원들 친절함에 너무 편안했습니다. 동반한 아이들을 위한 작은 배려도 감동이었고요. 앞으로 자주 이용할 것 같습니다.",5
프론트에 윌리엄 호텔리어가 너무 친절하고 프로페셔널하게 응대해주셔서 첫인상이 굉장히 좋았습니다. 틀에박힌 응대가 아닌 고객과 진심으로 소통하는 느낌을 주셔서 포시즌에 걸맞는 멋있는 호텔리어셨습니다. 또한 객실 상태와 유유안 음식맛과 사우나 시설등 모든 부분이 훌륭해서 조만간 재 방문 예정입니다. 감사합니다.,5
"포시즌스는 어느 로케이션에 상관없이 머물렀을때 감탄하게 되네요 지역별 특성을 잘 살려 놓고 ... 서울은 서울 나름대로 리조트 성격은 아니지만 안정감이 느껴집니다. 서비스 , 침구류 등이 특히 마음에 들어요",5
"룸 크기, 룸 컨디션, 조식, 실내 수영장 모두 만족스러웠습니다. 위치 자체가 도심(시내)에 위치해 있어 편리했으며, 호텔 안에서만 지내기에도 부족한 시간이었습니다. 전반적인 서비스도 좋으며, 조식도 맛있었습니다. 실내수영장은 생각보다 넓지는 않고, 어린 아이들과 함께 가족 단위로 많이 오시지만 아이들과 즐거운 시간을 보내기에는 괜찮았습니다. 다만 저희 아이가 이제는 커서 그런지 키즈라운지에 대한 기대가 컸던 만큼 실망이...너무 좁고 미취학 아동들만 가서 놀기 적당하고 초등학생 이상은 오히려 실내수영장을 더 재미있어 하네요~ 하지만 좋은 추억 만들었고, 다음에도 또 다시 갈 예정입니다.^^",5
호텔숙박을 정말 좋아하는 사람인데 포시즌스는 너무 도심에 있다보니 서울에 거주하는 사람으로서 가보고 싶은 마음이 잘 들지 않았었습니다 그런데 이번에 숙박하고나서 제 마음속 1위호텔이 되었네요 인테리어도 사진으로 보는것보다 훨씬 고급스럽고 서비스 만족도 역시 최상입니다 !,5
