reviews,scores
아이와 함께 호캉스하러 갔습니다. 욕조에서 거품목욕을 하며 재밌게 놀았어요. 호텔 전체적으로 엔틱한 분위기였지만 깨끗하게 관리가 잘되어 있었습니다.,4
항상 기대하고 가는 임피리얼 팰리스는 가성비를 훨씬 웃도는 훌륭한 호텔입니다. 따라서 서울에서 가성비 최고의 호텔에서 묵고 싶으시다면 자신있게 추천할 수 있습니다.,5
너무추워서 도대체 이곳까지 와서 자는 이유를 알지 못했습니다 난방을 조절도 못하게 안내도 없이 아예 꺼놨다고 합니다 지난번 기억이 좋아 다시 갔는데 재방문하고 싶지 않습니다,1
"일단 압구정로데오길과 가까워서 좋았구요. 근방의 편의점도 가깝고 도산공원 산책하기도 좋아요. 들어갔을 때 웅장한 인테리어에 놀랐는데, 숙소는 부담스럽거나 하지 않고 깔끔했어요. 디럭스로 업그레이드해주셔서 테이블도 사용하고 편히 묵었습니다",5
첫 방문 로비부터 깨끗하고 잘관리된 느낌 그리구 반신욕 욕조도 위생상태가 아주 맘에 들었어요^^ 아쉬웠던 점은 새벽에는 러너분들이 없어서인지 프론트 전화연결이 아예 안되어서 약간 불편햇네용 그래도 전체적으로 만족스러웟습니다!,5
직원분들이 일단 매우 친절하고 객실자체랑 로비 모두 고풍스러운 분위기에요. 저는 클럽 베네핏이라고 라운지이용(데이스낵+술)+조식 이렇게 이용했는데 음식이 정갈하고 맛있어서 만족스러웠습니다.,5
3번째 재방문한 임피리얼펠리스 코로나 영향 때문인지 몰라도 조식 클럽라운지 핑거푸드 전부 다 실망적이였습니다. 직원분들은 언제나 친절하시네요.. 이젠 재방문은 잘모르겠습니다,2
역에 근접해 있어서 뚜벅이커플로서 너무 좋았으며 5성급 호텔답게 들어가자마 로비부터 너무 마음에 들었어요~직원분들도 친절하고 룸컨디션도 너무 좋고 룸 들어가자마자 딱 제스타일이였습니다~카페 델마르 에서 에프터눈 티세트도 시켜서 먹었는데 분위기도 좋고 너무나 다 마음에 들었어요~다음 기념일에 재방문하고 싶네요~,5
궁전같고 클래식한 느낌을 만끽할수있었어여 아주 만족해요 !! 재방문 의사 20000프로에요^^~ 다음번에는 부모님도 모시고 방문 해야겠어요!,5
그럭저럭 5성급이고 인테리어 엔틱하니 예뻐서 기대 했는데 방음도 너무 안되고 건물자체가 낡은건가 객실 온도 조절도 안됐음 침대도 너무 딱딱하고.. 그래도 청결하고 직원들 친절도와 객실 내 화장실은 좋았음 칫솔 없다는 리뷰 봤던거 같은데 어메니티는 다 있었음 코로나때문에 조식을 20층 작은곳에서 했는데 의미가 있나..? 오히려 더 밀폐된 공간에서 식사해서 솔직히 조금 별로였음 아예 조식서비스를 없애던가 룸서비스쪽이 나았을듯,4
호텔 분위기도 좋고 식사도 맛있었어요 직원분들이 친절하게 응대해주셔서 편안하게 쉴 수 있었습니다^^ 전체적으로 정말 만족스러워서 주위 지인들에게도 추천하고 있어요~,5
"고풍스러운 인테리어가 인상적임 대중교통으로도 가기가 좋음 무엇보다도 저녁 뷔페가 좋았음 산미 없는 커피, 해산물, 특히 디저트류의 케이크가 하나같이 다 맛있어서 자꾸 퍼가는데 민망할 정도; 식사 때문에라도 재방문 의사 있음",5
강남권이라 교통도 편하고 엔틴한 분위기가 우선 좋았습니다. 열감지카메라도 있어 조금 안심될수 있었습니다. 전반적으로 직원들이 너무 친절해서 좋았습니다~,4
호텔이 강남쪽에 있다보니 이동하기에 편했고 조식은 생각보다 아주 괜찮았어요 직원분들도 하나같이 모두 친절하셔서 잘 있다 갑니다,5
직원분들도 친절하시고 분위기도 좋았어요. 위생에 신경 써 주신것 같은 부분들이 느껴져 좋았습니다. 다시 오고싶은 호텔이네요~,5
로비의 크리스마스 분위기가 너무 예쁘게 잘 되어 있어서 입구에 들어가자마자 기분이 좋아지더라고요.직원들도 친절하고 좋았습니다. 객실도 생각보다 크고 엔틱하게 해놔서 독톡했어요.,5
시간이 좀 지나서 올리지만 가성비 좋은 5성급호텔. 객실은 좀 오래되긴 했지만 나름의 컨셉이 있고 조식도 괜찮았던 기억. 강남 5성급 호텔치고 금액도 매우 저렴한편.추천함.,5
압도적인 로비의 분위기에 놀라고 스위트에서 묵었었는데 객실의 엔틱한 맛에 또 놀라고 갑니다. 주변 호텔과는 다른 분위기에 다시금 찾게 되네요.,5
입구에 들어서자마자 클래식하고 럭셔리한 분위기가 맘에들었고 직윈들도 친절하며 여러모로 방문하길잘했다는 생각이드는 호텔이고 또 가야겠다는 생각이드는 호텔입니다,4
"결혼식을 이 호텔에서 할 수도 있을 것 같아 미리 객실 투숙을 해봤는데, 여러모로 최악이었네요. 청결이며 방 분위기며 냄새며 맛없는 라운지 음식까지... 직원분들 서비스 빼고는 마음에 드는게 하나도 없었어요. 서울에 안 가본 호텔이 없을 정도로 호캉스를 즐기는데 여기는 최악이었던 것 같아요.",1
"지난달 25일에 친구들과 모임을 가졌습니다. 뷔페의 음식맛은 이미 다른 곳을 찾지 않고 이곳을 이용하게 될수밖에 없을만큼 친구들 사이에서도 인정을 받고 있었고, 이 날은 다른 날과는 달리 손님들이 적어서 저희 일행들은 세심하게 서비스를 받았다고 좋아했습니다. 다음엔 가족들과 함께 방문하고싶네요.",5
복층수이트가 가족과 함께 묵기 좋아요~ 아래 윗층 모두 침대가 있어서 여유있게 잘수 있었어요. 참고로 우리가족은 4명~~ 클럽라운지의 음식이나 음료도 다양해서 너무 좋았어요.,5
제발 객실에 담배 냄새 제거좀 하세요....직원들도 친절하고 위치도 좋은데....갈때마다 호텔 객실에서 나는 담배 냄새때믄에 정말 머물기 싫어요....,1
