reviews,scores
"온수풀도 좋았구, 푹신한 침구도 맘에 들었습니다. 다음에도 또 방문하고 싶어요. 모든게 완벽한 숙소입니다. 완전 추천드려요.0",5
원래는 11월 여행가려구했는데 수영장이 10월까지라해서 급하게 땡겨서 10월에 갔는데 11월까지 운영한다고 하네요😄 수영장이 너무 좋아요 이렇게된거 11월에도 예약 해야겠습니당 침대도 너무 푹신하구 또 이용하겠습니당 입구에서부터 직원분들 친절하고 프론트 직원분들도 친절합니다😆😆감사합니당,5
메종 글래드. 제주도에 올 때 한번 숙박하고 싶은 호텔이었는데 실제 와보니 객실 청소 수준이 심각합니다 코로나 시대에 청결은 필수인데. 욕조 탁자 머리카락은 그러려니 했는데 탁자에 음식국물 등이 묻어있고 대충 닦은 흔적이 있었습니다 물티슈로 닦아보니 고추가루 국물 이네요 좀 오래된 객실이라도 잘 정비하면 좋을텐데요 아주 실망입니다,2
"기본적으로 객실도 너무 깔끔하고 수영장도 깨끗해서 좋고 저는 직업특성상 여기저기 출장을 많이 다니는데 중요하게 생각하는것 중 하나가 수건,이불 냄새에 좀 예민한데요, 메종글래드는 올 때마다 늘 만족하고 가는 것 같아요 코로나가 심해지기 전에 19년도 여름에 제주도에 혼자 여행오면서 공항과도 가깝고 후기가 좋아 메종글래드 제주에 왔었는데요 그 때 짐도 많고 제가 모르는게 많아서 체크인 하면서도 어리버리하게 있었는데 프론트에 계시던 직원분이 너무 친절하셔서 덕분에 기분 좋게 여행을 마무리 했습니다. 이번에는 남자친구랑 제주도에 놀러왔는데 그 직원분이 계신가 봤더니 아직도 계시더라구요! 성함도 적어왔어요!! 요즘 펜션들도 많고 호텔들도 다 좋아져서 직원들의 친절함이 더 크게 느껴지는 것 같아요 프론트에계신 박보선님! 너무 감사드려요(이분 칭찬스티커좀) 다음에도 제주에가면 꼭 메종글래드로 오겠습니다~!",5
프론트 직원분들부터 아주 친절하고 좋았어요 친구들이랑 방 들어가자마자 소리질렀어요 너무 좋고 고급지고 깔끔하고 완벽한 방 분위기 공항 근처라 너무 좋고 뷰도 너무 이뻐요 모든게 완벽한 호텔이예요,5
제주도 메종글래드에스 2박했어요 직원분들도 친절하시고 방도 깔끔해서 좋았어요 다음에 제주도 또 가게되면 다시 이용하고 싶어요,5
"공항에서 가깝고 넓은 게 맘에 들어 예약했는데, 접근성 뿐만 아니라 편의성도 최고였어요~!!! 로비에 프레시향이 느껴져서 기분좋게 체크인 하였어요. 훈훈한 컨시어지 직원분의 친절한 안내를 받으니 왠지 이번 여행은 호텔이구나 실감했죠^^ 체크인 안내도 오래 걸리지 않았고, 환경보호 뜻에 동참하는 미니멀이라는 설명에 좋은 인상 받았어요~ 객실에 올라갔더니 한라산 뷰가 딱!!! 멋진 전망과 수영장뷰가 맘에 들었어요~! ㅎㅎ 체크인 마치고 바로 파티오풀 즐기러 갔습니다^^ 가오픈이었어서 저희만 이용하는 호사를 누렸어요. 인생컷 건짐ㅎㅎ 수영 마치고는 호텔 내 투고박스를 사서 객실에서 와인 페어링해서 먹었는데, 투고박스 되게 합리적 가격이라 놀랐어요!!! 굳이 멀리 나가지 않아도 제주의 진미를 즐긴듯한 ㅎㅎ 밤엔 제대로 호캉스 마무리를 지으려 넷플릭스 켜서 침대에 누웠는데ㅎㅎ 베딩 정말 넘 좋더라구요^^ 영화한편 때리고 편안하게 꿀잠 스르륵 ㅎㅎ 하.. 서귀포로 숙소 이동하는게 아쉬울 정도로 가심비 충분히 즐기고 가요!!! 부담스럽지 않아 집처럼 편안한 스테이, 최고의 추억 만들고 갑니다~~~",5
엊그제 지인들과 2박을 햇는데 잠금장치가 고장나 아침 체크아웃시간에 난리가 낫엇습니다 신분증과 약이든 작은가방이 안에잇엇거든요 카운터에 도움을 요청드리니 30초만에 도구를 들고오셔서 지버손잡이를 툭 하고 잘라주시더군요 출발시간 늦을까 걱정햇는데 너무신속히 친절히 해결해주셔서 감사의 마음을 리뷰에 남깁니다,5
"들어올 때부터 나갈 때까지 완벽했던 메종 글래드 제주!! 일반 객실로 예약했지만, 디럭스 객실이 남아 서비스로 업그레이드 해주신 안내 직원분께도 감사드립니다.",5
제주 시내에 위치한 호텔로 생각보다 저렴해서 기대 안했는데 막상 와보니 시설도 좋고 접근성도 좋아요 주변에 맛집도 많고 호텔 시설도 좋았습니다 직원분들 서비스도 좋고 다음에 또 이용하고 싶은 호텔입니다,4
