reviews,scores
맛있어요 ㅎㅎㅎㅎㅎ,5
맛있었는데 계란찜 국물이 다 새서 왔네요ㅠ,5
불닭 엄청 오랜만이었는데 맛있었어요.  맵찔이한텐 순한맛도 맵네요.,5
후하 맛있어요🔥🔥🔥🔥🔥 담에도 시켜먹을게용,5
맛있게 잘 먹었습니다~~,5
.,5
맛있게 잘먹었어여  선결제도 아닌데 서비스주셔서 항상감사해요,5
역시나 맛있어요!!!!!!!!!,5
맛있어욤!!!!!!!!,5
잘 먹었읍니다...제가 맵지리여서 맥주같이 시켜서 먹었는데요 ..이건 소주를 부르는 맛입니다... 편의점 가서 소주 사다가 친구랑 둘이 같이 잘 먹었읍니다 ...사장님 대박 나세요,4
맛있어요 많이 파세요,5
맛있게 잘 먹었습미다,5
20년 조리사로 살아왔는데 신화불닭은 변함없이 늘 맛있어서 좋아요,5
항상 통통하고 맛나여,5
맛있게 잘먹었습니다~~,5
불향👍🏻 0단계는 안매웅것같아서 1단계했는데 딱좋아요! 맛있게 매운맛~ 서비스 볶음밥도 맛있고 단골예약입니다,5
맛있어서 오늘 또 주문ㅋㅋㅋㅋㅋ,5
닭발 매운맛으로 시켰는데  전 주먹밥이랑 콩나물국이랑 같이 먹을만했는데 같이 드시던 여사님 너무 맵다고 얼마 못드심 확실히  닭발만 먹으면 쫌 매움 ㅋ 다음엔 순한맛으로 시켜야할까봐요,5
맛있어요 항상!!!,5
처음시켜봤는데 너무 맛있게 잘먹었습니다 매운강도는 젤매운거 앞에껀데 하나도안매워서 잘못온건지 제가 잘먹은건지 모르겠네여 ㅎ 또 생각나면 주문할게여 ㅎ,5
오랜만에 맛있게 잘 먹었습니다 ~,5
맛있게 잘 먹었어여 ㅎㅎㅎ 담엔 날개도전 서비스로 쿨피스주신다기에 작은거주는줄알았는데여? 큰거주세여?ㅎㅎㅎㅎ 너무좋아여 개취파인애플맛이라니,5
최고입니다 최고입니다,5
새벽에 시켜먹은 닭발   사진은 깜빡해서 못찍었어요  잘먹었습니다,5
세트에 추가한 참치주먹밥이랑 서비스로 나오는 주먹밥 2개가 나와야하는데 그냥 하나를 2개로 나눈것 같네요. 밥 양이 하도 적어서 바닥이 사이사이 보이네요ㅋㅋㅋㅋㅋㅋ,1
새벽에 야식으로 먹기 아주 딱 좋은 신화불닭!!!! 진짜 너무 맛있어 대박 매워서 스트레스 풀리긴 하는데 2단계도 진짜 맵더라구요 근데 너무 맛있어요,5
시장 맛집 노포느낌으로 좋았습니다 또 생각날거같네요,4
약간매움 선택했는데 1도 안맵고 달더라구요 늘 시켜먹던 맛인데 착오가 있으셨던건지..누룽지도 오래된 냄새가 나고 여러모로 실망이었어요,5
맛있게 잘 먹었습니당~,5
맛있어요 장먹었습니다,5
불맛나는 꼼장어를 집에서먹다니~ 대박임당~ 어쩜 냄새도전혀없고 매콤한게 불향까징~ 안주로 최곱니당~ 써비스 주먹밥까지 싸장님 센스쟁이 ~^^,5
엄청 맵다고 해서 엄청 기대했는데 맵찔도 먹을만 하다더군요 실망.. 편의점 닭발수준.. 재주문 의사 없음,1
맛집을 추천합니다~~,5
처음 시켜봤는데 만족스럽네요 맛있어요!  제일 덜 매운걸 시켜도 맵네요ㅋㅋ,5
항상 닭발 땡길때마다 여기서 먹어요,5
역시나 맛있어요! 불맛도 좋고 양도 많네요ㅎㅎ,5
시킨 주먹밥 따뜻하고 리뷰이벤트로 주신 기본 주먹밥은 찬밥인 거 외론 맛있게 잘 먹었습니다.,4
닭발은 신화불닭에서만 시켜 먹어요.  맛있어요. 최고에요.,5
항상 너무 맛있게 잘먹고있습니다 !,5
오랜만에  주문했는데 역시 불맛이나는 닭발맛 그대로네요~너무 맛있게 먹었어요^,5
매워도 너무 매워요 ㅜㅜ 담엔 그냥 보통으로  주문해야겠어요,3
맛있게  잘먹었습니다 ~,5
아 너무 맛있어요 술이 술술 넘어가네요!,5
맨날 닭발만 먹었었는데 불닭이 진짜인것같아요!!,5
"맛있어요<3 매운맛은 오늘은 약간 덜 맵더라고용! 계란찜이랑 콩나물국,닭발은 여전히 짱이에요 주먹밥은 갠적으로 참치보단 스팸이 맛있는듯해요!",5
메뉴를 잘못 선택했지만 맛있게 잘 먹었습니당,5
닭발은항사유여기서만 시켜먹러료 넘 맛나욜,5
새벽에먹기너무맛있어요,5
닭발  ㅚ고에요 짱,5
맛있게 잘먹었습니다!,5
존맛탱구리구리마구리 근데 양이 조금 아쉽네요...ㅠ 그래도 앞으로 자주 시켜먹을게요!,5
감사히 맛있게  잘 먹었습니당,5
JMT X999999 = ㅅㅎㅂㄷ,5
양도 생각보다 많고 콩나물국이 좋았어요!,5
어우슅 불향 맛 배달 양 모두 완벼크,5
완전!! 맛있어요!!!,5
처음시켜본곳이라 사실큰기대안햇는데 양도맛도 구성도너무알차고요 정말배터지게잘먹엇습니다 자주시켜먹을게요,5
술안주로딱말랑말랑쫀득쫀득맛잇습니다,5
여기맛있어여 0단계 추천이요 그것도 매콤해요,5
매번 먹을때마다 행복한매운맛입니당 ㅎㅎ최고 !!,5
언제든 맛있습니다 사진은 깜빡해서 예전사진 올립니다,5
잘먹었습니다~! 맛있게 먹었어요 급해서 사진은 없네요 ㅠㅠ,5
치즈가 굳어서 왔네요 ㅜ,5
항상 맛있게 잘 먹고 있어요,5
진짜 맛있게 먹었습니다,5
채굽니다 🍎🍏🍎🍏🍎🍏🍏🍎🍏🍎,5
너무맛있습니다!!! 또 시켜먹을거같아요!!,5
맛있게 잘먹었습니다 감사합니다,5
잘먹었습니다 넘 맛있었어요,5
맛있어여 ~~ 담에도 시킬게용,5
생각보다 많이 맵고 닭고기가 뻣뻣하게 말라있었어요.. 주먹밥이랑 콩나물국은 맛있네요.,2
"맛있게 잘 먹었습니다! 누룽지도 맛있었어요 양도 많구,,",5
맛있게 잘먹었습니다.,5
맛있어요 자주 시켜서 먹는 집이라 말이 필요 없습니다,5
맛있어서 재주문 했습니다~~좋아요👍,5
닉네임 : S.Y. 10년만에 야식을 시켜 봤어요.. 닭은 역시 윙이죠~ 숯불에 구워 너무 맛있었어요.. 닭똥집소금구이 크~~ 한잔이 생각나는 맛이네요..ㅋㅋ 사장님께서 주신 서비스 또한 감사합니다 ~~,5
눈물 나게 맛있어요…슬프네요,5
정말맛잏게 먹고있습니다.,5
닭발 통통하고 존맛탱,5
맛있게 잘 먹었습니다,5
잘 먹었어요 양도 푸짐 ㅎㅅㅎ,5
역시 불닭이랑 닭발은 신화불닭💖,5
닭발 다른데서 안시켜먹게돼요 배달도 빠르고 맛있어요,5
양도 많고 서비스가 좋아요,5
배달 빠르고 맛있게 먹었습니다,5
"순한맛?도 맵다 그래서 그걸로 시켰는데 다행인 것 같아요 ㅎ 맛있었고, 제게는 저 정도도 꽤 매웠던 것 같습니다! 스트레스 풀기 좋아요 ㅎㅎ",5
양도 많고 너무 잘먹었습니다!!,5
항상 맛있게 먹고 있어요 감사합니다.,5
항상 맛있어요 !!,5
맛있어요 닭똥집은 양이조금줄은것같긴한데 그래도 맛있네요,5
👍👍👍👍👍👍,5
와 진짜맛있어요 여기는 찐임,5
늘 통뼈 닭발 먹는데 실수로 무뼈로 시켜서 슬펐네요ㅠㅠ 그래도 맛은 똑같고 양도 많았습니다ㅎㅎ,5
비가오는데  배달도 엄청빠르고 맛도좋아요...저희는 1단계도 매웠지만ㅎㅎㅎ 가격대비 양이 좀 아쉽긴했는데 ㅋㅋㅋ 땡기는 맛이라 다음에 또 주문할듯요ㅋㅋㅋ,5
👍👍👍👍👍,5
존맛탱 오늘 또 시킵니다,5
맵긴한뎅 단 매운맛 느낌이에용 주먹밥 양이 너무너무 적어요 ㅠㅠ,5
맵지만 맛있어요 양도 많아요 잘먹었습니다,4
종종 생각나는 불닭~~,5
역시 맛있습니다!,5
불향도 좋고~ 양념도 맛있어요~~ 잘먹었습니다,5
맛있어요 ㅎㅎㅎㅎㅎ,5
오랜만에 시킨 닭발 꿀맛,5
