reviews,scores
양도 많고 리뷰서비스도 맛잇고 좋았요~,5
후라이드가 바삭한게 아니고 축축해서 놀랐음. 배달 도착 메시지도 없고.,3
따붕 배달 기사도 친절하시고좋앙ㅎ음,5
맛있어요~~~~좋아요~~~,5
아주 최고입니다.👍👍👍,5
치킨 너무 맛있습니당 ㅎㅎ,5
ㅎㅎ 감사합니다 잘먹엇어용,5
청양고추 송송 올려 먹으면 맛나요,5
배달 많이 늦어 식었지만 잘먹었습니다!,4
행사때마다 배달이 늦어지는건 단점이긴해요. 하지만 음식이 식지않고 따뜻하게 왔고 맛이 보장되는 집이라 그정도는 기다릴수 있다는 생각이 드네요.맛있게 잘먹었습니다. 또 주문할게요 번창하세요,5
맛있게 잘 먹었습니다,5
너무너무너무너무 맛있어요!!!!,5
따끈따끈 맛있게 잘 먹었습니다~^^,5
굿굿굿굿굿굿굿굿굿굿 맛있어요,5
갓 튀긴 치킨은 사랑입니다 처갓집 순살만 먹어봤는데 뼈도 맛있네요,5
푸짐하고 맛나용~~,5
후라이드랑 소스가 진짜 어울리네요 소스도 양념 머스타드 고추장 3개나 줘서 모자라지 않게 찍어먹었습니다 감사합니다,5
맛나고 좋아요!!!,5
반반이역시 진리 굳굳,5
올해 젤 잘한일 처갓집에서 치킨 시킨거임 소스도 많이 주시고 후라이드도 너모너모 고소하고 슈프림은 말해뭐해요 잘먹겠습니다!!,5
처갓집은 양념치킨이 진리죠,5
맛있어요 근데 배달이 60분내외라 했는데 1시간 반 걸리구 좀 식은거 빼고 좋아요,5
맛있어요 다음엔 다른제품주문하겠습니다,5
올만에 맛있게 잘 먹었네요,5
리뷰는 약속이죠 솔직히 여기 양념 시키면 무슨 밥을 비벼먹어야할만큼 소스를 엄청 넣어주십니다. 정말 잘 먹었습니당!!!,5
배달 빠르고 맛있었어요!!,5
바삭바사구맛나네요 양념치킨은 역시,5
배달도 빠르고 역시 맛있습니다!,5
엄마랑 언니랑 셋이 먹었는데 남았어요~ 맛있어요~,5
순살 양념은 역시 처갓집ㅎㅎ,5
배달도 예상시간보다 빠르고 맛있어요~,5
맛있고 가성비 진짜 엄청납니다 살 깨끗한거 보이나요? 진짜 잘먹었습니딘,5
소스 많이 주셔서 너무 좋아요!!!,5
양연은 처갓집이지  음.,5
할인 해서 좀 더 싸게 맛있게 먹었어요,5
너무 맛있었어요!!,5
늘 맛나게 먹어요.,5
굿굿굿굿굿굿굿굿굿굿,5
역시 슈프림.....,5
양도 많고 맛있었어요~,5
배달도 빠르고 맛잇게 먹었습니다!,5
"맛있게 잘 먹었습니다 치즈볼, 미니핫도그도 맛있어요! 😁😁😁",5
너무 맛나요..또 주문할께요..번창하세요,5
먹을만해요 나쁘지 않아요,4
맛있게 잘 먹었습니다!!!,5
맛있게 잘 먹었습니다 추천!,5
만족합니다요  :),5
양념도 듬뿍주시고 너무마싯네용 ㅎㅎ,5
굳.,5
완전 맛있음 ㄷㄷ.....,5
진리의 양념.. 너무 맛있었습니다!,5
배달은 빨라요. 맛이ㅛ게먹었습니더,3
맛있게먹었습니다 배달도 빨라요~,5
번창하시기를 바라겠읍니다,5
예상시간보다 일찍오고 맛도 좋도 서비스 좋고! 모든게 대만족입니다 굿굿!!!,5
#식후감  제 시간 도착~!  치킨 맛은 좋아요~ 다만 라이스도 그렇구 향신료향이 좀 강한 듯 했어요~ 라이스 첨 시켰는데 쌀알이 포슬거리고 엄청 미니사이즈군요~ㅎㅎ 치즈볼도 제가 좋아하는 거 말구 다른 종류가 와서 좀 아쉬웠어요..ㅠㅡㅠ 소스는 허니 올리고당으로만 요청해야겠어요~ 맛난데 한 개는 넘 부족해요~ㅠㅡㅠ(소스는 음료쪽에 넣어주세요~ 뜨거운 치킨이랑 같이 두니... 넘 뜨거웠어요;) 쫀득! 떡사리는 꼭 추가♡  양은 언제나 부족~ㅎㅎ;;  늘 시키는 메뉴 말고 다른걸 최근에 2번 시켰었는데~ 쵸큼 아쉽네요~ㅎㅎ;,5
할인해서 먹으니깐 더 맛있게 먹었어요 알럽도그!,5
맛있네요,5
정말맛있는 치킨입니다. 감사합니다.,5
맛있어서 다음날 또 이렇게 먹네요,4
맛있게 잘먹었습니다,5
너무 알차고 맛있게 보내주셔서 감사합니다~ 번창하세요 사장니,5
맛잇어요 좋아요 굿,5
맛있게잘먹었습니다^^,5
맨날 호식이만먹다가 오랜만에 먹으니까 맛나네요,5
맛있고 리뷰 서비스도 정말 좋아요!! 감사합니다.,5
오랜만에 잘 먹었네요~~,5
너무 맛있어요ㅜㅜㅜㅜ믿고 먹는 처갓집,5
"컨셉질 하면서, 식후감 노리는글 적을려다가 마지막 주문이 될거 같아서 참았습니다. 늘 맛있게 먹는 치킨집을 잃을바에는, 식후감을 포기하는게 맞는거 같아요. 앞으로도 맛있는 치킨 부탁해요^^",5
맛있네요.재 주문의사 있습니다.,5
처갓집 슈프림양념 넘 맛있어요!,5
좀 느끼하지만 맛있어요,5
역시 양념이 맛난 치킨집^^,5
"맛있게 먹었습니다~ 리뷰보고 반씩했는데 좋은 조합이었어요. 배달도 예정시간에 맞춰왔습니다. 닭크기가 조금 귀여운(?) 느낌이긴했지만 행사로 저렴하게 먹어서 감안했구요, 밥반찬 겸 맛있게 먹었어요! 재주문할게요😀",5
결국 못 참고 또 시켰습니다… 너무 맛있어요.. 슈프림치킨 최고에요 흑,5
역쉬 처갓집이네요 묵직한양념치킨이 너무 먹고싶었는데 처갓집 시키길 잘했습니다 ~~~,5
믿고 먹고 있습니다,5
맛있었어요. 올때 소스가 좀 샌듯하나 충분히 남아있었어요,5
아주아주 맛있게 잘 먹었습니다!!!,5
맛있게 잘먹었습니다,5
완전 맛있어요 굳굳 또시킬게요,5
맛나게 잘먹었요. 치즈볼도 진짜 맛났습니다~,5
행사기간이라 그런지 식어서 뻣뻣한게 반이엇지만 그래도 맛잇게먹엇어요,5
뭔가 평소와는 다른 느낌의 와락간장이었네요. 후추맛도 세고 닭도 조금 더 바싹? 튀기신 것 같고 소스도 전보다 훨씬 끈적한 느낌? 마치 한과를 먹을때 이에 쩍쩍 달라붙는 느낌이었네요. 근데 그게 또 신선했습니다. ㅋㅋㅋ 잘 먹었습니다.,5
"별 2개를 준 이유 리뷰이벤트 참여했지만 오지않고, 젓가락 달라고 요청했지만 오지않고, 문앞에 두고 문자달라고 했지만 벨을 눌렸으며, 간장을 주문했는데 양념이 너무 적어 겉만 간장맛이 나고 후라이드와 다를게 없었어요",2
맛있게 잘먹었습니다!,5
맛있게 잘먹었습니다!!,5
맛있게 잘먹었습니다. 언제나 맛있어요. 👍,5
굳 깔끔하게 잘왔고 넘 맛있었습니당,5
맛있게 잘먹었습니다. 달달한 양념과 바삭한 튀김이 꿀맛이네요ㅎㅎ,5
치킨은 맛있는데 볼은 제 입맛에 안 맞네요... 치킨은 추천합니다.,5
맛있네요 굳입니다,5
치밥하기 좋다고 해서 시켜먹어봤는데 맛있네요 잘먹었습니다,5
슈프림양념말고 왜 이게와여ㅠㅠㅠㅠㅠㅠ 맛있으니까 그냥 먹었는데 담부터 신경써주세용,5
맛잇어요 따뜻하게와서 잘 먹었어요,5
너무 맛있게 잘 먹고 있습니다! 지난 번에 쿠폰이 안왔어서 이번에 꼭 챙겨달라 말씀 드렸더니 두장을 주셨어요 감사합니다 ㅠㅠ 계속계속 잘 시켜먹을게요!,5
때깔곱디고운 역시 처갓집양념치킨 이였구요. 치즈볼이랑 미니핫도그도 아담하긴 하지만 맛나서 잘먹었습니다.,5
믿먹슈 오늘도 인증합니당 짱맛있어요 ㅎㅎ,5
60분배달이랫는데 40분만에 오고 엄청따시고 맛났습니다,5
역시 양념은 처갓집!,5
배달예상시간보다 빨리왔어요 ~ 따끈하고 바삭한 치킨 오랜만에 먹네요 서비스 콜라도 잘 받앗습니다 ^^~,5
"배달도 빨리 왔고, 맛있게 잘 먹었어요!",5
언제쯤 질릴까요...슈프림......... 배달도 빨라버리고..........,5
맛있게 잘 먹었습니다,5
맛있네용! 식어도 맛있어요,5
소스 완전 듬뿍 발려있는데도 바삭해요!! 너무 맛있게 잘 먹었어요~~~,5
맛있게 잘먹었습니다~,5
감사합니다 ^^♡ 맛이 좋아요,5
너무너무 굳ㅎㅎ 아들이 너무 좋아했어요~,5
맛있게 잘 먹었습니다,5
너무 맛있어 다시 주문했어요.,5
맛있어요!!!! 다음에 또 먹을거예요 배달하면서 양념이 다 샜어요,5
맛있게 잘 먹었습니다~!!,5
말해 뭐해~ 최고에요 항상 잘 먹고 있습니다!!,5
양념은 역시 처갓집입니다. 양이 더 많았으면 좋겠어요.,5
예상시간보다 빨리 도착해서 좋았어요!! 양념도 달달해서 너무 맛있게 잘 먹었습니다^^,5
맛있게 잘 먹었습니다~,5
후라이드가 넘 맛있네요.,5
근처 온갖 치킨집에서 시켜먹는데 여기가 제일 만족 스러워요. 너무 맛있어서 사진도 안남기고 허버허버 먹어버림. 양념반후라이드반 제일 자주 먹는데 튀김도 깔끔하고 양념도 가득 부어줘서 좋아요. 강추강추! 열라면도 못먹는 맵찔이인데 매운거 땡길때가 있어서 고추양념도 하나 추가했는데 맵찔이들은 시도하지 마세요 너무매움.. ㅠㅠ,5
배달이 30분만에 왔어요 완존 초스피드 ㅋㅋ 맛있어용,5
특유의 향이 있네요,5
생각보다 매콤하고 생각보다 짰지만 맛있게 먹었어요! 무 추가했는데 안왔어요!!!!!!!,5
항상 맛있게 잘먹고 있습니다 양도 많고 쿠폰문의도 친절히 잘말씀해주셔서 감사합니다,5
