reviews,scores
항상 잘이용하고있어요,5
잘 먹었습니다,5
냉동 닭다리살 쓰시더라구요..양은 많았어요!,3
잘먹었습니다~ 양 엄청 많네요 ㅎㅎ,5
배달 안와요 번호도 없고 내일먹게요,1
역시 믿고 먹습니다!  오늘도 배불러서 다 못먹고 내일로 미뤘네요 ㅎㅎ   양도 맛도 항상 만족하고 갑니다!!,5
맛있게 잘 먹었습니다.,5
국물에 밥 비벼먹으니 겁나 맛나네요.ㅎ,5
기름이 너무 많은 점 빼고는 맛있었어용,4
양 많네요ㅎㅎㅎㅎㅎ,5
역시나 맛나요 !! 닭볶음탕은 여기서~~,5
닭냄새가 너무나서 못먹고 거의 버렸네요. 완전 속상합니다.  ㅠ,4
넘 맛있게 잘 먹었어요^^ 짱!!!,5
맛있게 잘먹었습니다 국물 많은 닭볶음탕을 선호하진 않는 편인데 괜찮게 먹었네요 ㅎㅎ,4
콜라큰거시켯는데 큰거안오고전화안받음,1
잘먹었어요 ㅎㅎㅎㅎㅎㅎ,5
닭도리탕은 항상 여기서 먹어요  리뷰쓴다고 하니 음료를 두개나 주셨어요  밥도 두개나 주셨네요  감사합니다  맛있게 잘 먹었어요  특히 여기 국물에 밥비벼 먹으면 완전 맛있어요,5
고춧가루 기반의 닭볶음탕 이에용ㅁ,5
언제나 맛있어요 여기 단골단골,5
1시간이넘도록  배달도 안오고  멉니까 취소도 안되고,1
맛있게 잘 먹었습니다~~,5
맛있게 잘 먹었습니다,4
종종 맛있게 먹었던곳인데 오늘은 닭에서 누린내가났어요..ㅠ음료수를 기대했는데 밥이 두개왔네요..ㅎ,3
맛잇게 잘 먹었습니다,5
양도 푸짐하고 맛도 좋아요! 배달도 예정 시간보다 20분 정도 일찍 와주셨네요,5
배송도 빠르고 맛있어요,5
밥이 다른 공깃밥용기가 아니라 그냥 스티로폼에 비닐로 오는건 별로네요,3
다른집에가서 저 불러도 대답안한다구 그냥 나두고 가겠다고 전화하고 가네요   열받음,1
먹고싶어서 또주문합니다,5
먹고싶어서 또주문합니다,5
고추기름이 조금 적었으면 좋겠어요 양념은 맛있고 가성비 좋아요,5
배달 닭볽음탕 치고는 진짜 괜찮음 덕분에 맛있는 식사했네요,5
늘 시켜먹는곳인데 오늘은 국물이 묽었어요ㅠ 원래는 텁텁하니 볶음탕 먹는 맛이었는데.. 서비스 양 배달은 늘 만족합니다!  이벤트로 주시는 녹용도 잘먹고 있습니다. 그런데 저번 당첨이벤트는 누락됐어서 한번 확인해주세요~^^,5
맛있습니다.맛있습니다,5
닭도리탕 찐맛집 발견햇슴다,5
