reviews,scores
배달빨라여잘먹엇어여,5
맛있게 잘 먹었어요~~,5
살면서 먹어본 돈까스중에 가장 최악 이보다 상태가 안좋은 돈까스는 없다. 상태는 거의 전날 만든서 재활용하는듯한 비쥬얼을 보여줬고 맛도 최악인 수준 식감은 말할필요가 없다. 차라리 편의점 도시락이 더 맛있게느껴짐. 인생 첫 리뷰를 이런식으로 쓰게될줄은 몰랐음 그냥 최악 그 자체. 아래 리뷰들 보니 리뷰도 그냥 복-붙 끝 다시는 안시켜먹음,1
맛나게 잘먹었습니다,5
순두부에서 돌이 조금 씹히네요 그 외엔 만족합니다,5
맛은좋았어요.그런데사진에는청경채가있었는데배달된음식에는없네요? 그리고조금만덜짜게해주세요.,5
맛있어요 양도 푸짐,5
👍👍👍👍👍👍👍👍👍👍👍👍👍👍,5
"모둠 돈까스 시켰는데 , 양은 많지만 맛과 질이 떨어지네요. 돈까스는 너무 튀겨 말라 있고 , 함박 탔다. 양보다는 질을 생각해으면 하네요 .",2
오늘두 맛나게 잘먹었습니다 담에또주문할께요,5
감사합니다 ㅎㅎㅎㅎ,5
맛있어요 ㅎㅎㅎㅎ 감사해요,5
한그릇 말이필요없지요~ 근데 치킨마요에 치킨이 오래된냄새가 나더라구요..담엔 좀더 신경써주세요~,5
만두국은 이번에 좀 별로였는데 제육덮밥 너무 맛있네요,4
양이 진짜많네요! 맛도 좋고 자주 애용할 것 같아요,5
충무김밥 맛있게 잘 먹었어요 ^^,5
잘 먹었습니다. 너무 맜있어요,5
으악 김치덮밥 김치가 하나도 안볶였는지 너무 시어요. 먹을수있는 음식이 아닙니다ㅠ,3
입맛없을때 뭘시켜도 실패없음!,5
맛잇어요 근데 반찬이좀아쉬움ㅜ,5
맛이 별루고 다시 주문하고싶지않네요,2
맛있어요 잘먹었습니다,5
짱맛있었어요ㅈ모르고 공기밥하나더시켜서 남겼댜능,5
맛있게 잘 먹었습니다^^,5
다양한 메뉴가 맛있네요 충무김밥,5
돼지갈비 맛있어요!! 추천함,5
맛있어요 굿규굿굿굿굿,5
네 밥은 그저 그럭저럭 잘 먹었는데 진짜 배달은 너무 하네요 문앞에 두고 종 눌러달라고 했는데 배달 시간이 아무리 지나도 안 오길래 문 열어봤더니 다른 집 앞에 덜렁 내놓고 참 ㅋㅋ 죽 시켰는데 다 식고 밥도 다 식었네요,1
민이또요 저녁엔 살 안찜 ㅎ,5
계속 오늘 처럼 깻잎들어가고 약간 얼큰한 국물로 만들어주심 앙대나요? 뼈크기는 좀 줄어든게 아쉽네요,5
고구마치즈돈까스 처음 먹어 봤는데 넘 맛있어요,5
요기 맛집이에용! 담에 또머그께여,5
갈비탕 맛있게잘먹었어요,5
배달 빠르고 양도 많고 너무 맛있어요!!,5
배달 포장 맛 양 다 좋아요~!!,5
맛도 좋고 양도 좋았는데 치킨마요 도시락이 그냥 덥밥처럼 주네요 반찬은 사진에서 보이는거 하나없고 매우 불만족했어요 하지만 고구마치즈돈까스는 먹을만 했어요,2
맛있네요 ㅎㅎ 다시 주문할께요,5
맛잇게 잘머것습니다,5
빨리오고 맛있었습니다,5
👍👍👍👍👍,5
항상 맛있게 잘 먹고있습니다!,5
구우우우우우우우웃!,5
맛있게 잘먹었어요~,5
육개장 후기가 좋아서 츄라이 한번 해봤는데 진하고 좋았어요~,5
양도 넉넉 맛도 맛있었어요 ^^,5
맛있게 잘 먹었습니다,5
ㅍㅎㅊㅁ1234567,4
굿 정말 많이 좋아요,5
여기만큼 육개장 잘하는 곳도 찾기 어려울거 같아요. 항상 맛있게 잘 먹고 있습니다. 고맙습니다 !,5
1시간 반 지났는데 아직 안왔어요..ㅠ,3
저 단골이에요 ~!!!!,5
맛나고좋은데요 배달이늦음,4
리뷰이벤트 음료수 증정이라 해서 참여했는데요 생수 한변 올거라곤 상상도 못했습니다. 다른 리뷰 읽어보니 2인분 이상에만 음료수 주신다고 하시는거 읽었는데 앞으로 정확한 정보 기제 부탁드립니다 너무 어이 없었네요 콩나물국이 왔는데 차갑게 식은국이 왔더군요 잔뜩 기대하고 시켰는데 실망이 큽니다,2
메뉴도 다양하고 맛있습니다 충무김밥 추천이요,5
일단 맛있는데 고기가 어쩌면 한점만 있는지,3
빨리오고 맛있었습니다,5
음식은 양도 많고 엄청 맛있게 잘 먹었습니다~^^ 배달은 요청사항대로 해주시지도 않고 다른 방앞에다가 갖다 놨네요. 연락도 없고.. 큰일날 뻔했어요 :(,5
"맛있어요,근데 고기가 너무 적어서 아쉬워요",4
맛있어요 감사합니다,5
맛있어요!!! ㅎㅎㅎ,5
또 목을게요!!!!,5
저희는 애들이라 반찬이랑 같이 먹지않고 떡볶이국물에 찍어 먹는걸 좋아하거든요. 김밥만 판매도 가능했음 좋겠네요. 그래도 잘 먹었습니다.,4
잘머것어요 괜차나오,5
맛있어요! 사진은 전에 먹은 메뉴로~~,5
맛있게 잘 먹었습니다?!,5
잘먹었습니다 다음에또주문,5
"요즘은 충무김밥에 오징어 무침대신 오뎅볶음, 석박지 대신 깍두기 단무지를 주나보죠???? 편의점 5쳔원짜리 도시락보다 못한 음식을 곱절이 넘는가격에 잘도 파시는군요.",1
배달 빠르고 맛있습니다. 양도 정말 배부르네요 ㅎㅎ,5
배달빠르고 맛나네요.밥 양이 적은게 아쉽지만 가성비는 먀우 좋습니다,5
맛도 좋고 양도 많고 좋아요~~~ 또 주문 할께요. 추석명절 복많이 받으세요~~~^^,5
배달이 많이 늦었지만   아들이 맛있다고 하네요!,5
돈가스도 맛나고 생선가스도 맛있었습니다. 충무김밥도 꽤 맛있었습니다. 다만 배송이 좀 느렸어요.,5
잘먹었읍니다,5
배달도 바껴서 오고 누룽지탕이아니라 누룽지 죽이왔네요,1
김치덮밥 항상 맛있습니다,5
오늘도 맛있게 잘먹었습니다 리뷰콜라도 잘받았습니다 담에 또주문할께요,5
맛있었어용 담에또시킬께여~,5
잘먹었습니다,5
항상 잘 시켜먹어요. 매번 빨리 배달되고 특히 양이 참 푸짐해서 오랫동안 먹을 수 있어 좋습니다. 앞으로도 번창하세요 !,5
배고파서 바로 먹느라 사진은 못 찍었네요 그래도 늘 맛있게 먹고있습니다 :),5
고구마치즈돈까스를 시켰는데 그냥 돈까스가 왔어요 된장찌개도 늘 먹던 맛이 아니네요 사장님이 바뀐건지 모르겠지만 여러모로 실망스러워요,1
맛있어요,5
배달비 후덜덜해서 이제못시켜먹겟네요,3
잘먹었어요,5
배달 시켜먹으면서 리뷰 처음씁니다. 주문하고 오는데 1시간 45분걸렸습니다 늦으면 늦는다고 전화도 없고 화나네요  음식 다 식엇고요 돈까스 물론 차가워서 그런지 눅눅하고 치즈 다 굳엇어여  김치찌개 역시 마찬가지구요 평점 좋은이유 모르겠네요 ㅡㅡ,1
잘 먹었습니다!! 근데 콩나물국 메뉴에 있었으면 좋겠어요.. 너무 맛있어요..,5
참치김치찌게가너무맛있어요  5다섯개드림니다,5
잘먹었습니다.....,5
김치찌개가조금맛있습니다 봉지끈을잘풀수있게사세요 이거만고치시면은좋겠습니다,2
맛있게 잘 먹었어요~,4
빨리오고 맛있습니다,5
충무김밥에 순두부찌개 1인 혼자 모두 뚝딱할 수 있는 맛입니다.,5
국물 들은 반찬통 뚜껑이 조금 열려서 포장봉투 안이 난장판이더라구요. 다른건 문제 없었는데 반찬도 잘 닫혔는지 확인 한번 해주시면 좋을거같네요. 음식에는 문제 없어서 잘 먹었어요,5
"배달 1시간30분 걸렸고, 고기양은 적은편, 맛은 보통이네요 리뷰이벤트도 음료수가 아니라 물을 보내주셔서 좀 아쉬워요~",3
생각보다 양도 많고 맛도 괜찮아요 반찬양도 딱 적당한거같아요 살짝 맵긴하네요 ㅋㅋㅋㅋㅋㅋㄱ  배달은 25분정도 빨리도착했어요 ㅎㅎㅎㅎㅎ,5
오늘도 맛있었어요ㅎ 감사합니다ㅎ,5
양도 많고 맛있습니다,5
오늘도 잘 먹었습니다 맛있어요!!!,5
치킨까스 리뷰가 별로 없어서 걱정했는데 정말 맛있고 평소에는 치즈까스밖에 안먹었는데  이젠 치킨까스도 자주 시켜먹을 것 같습니다,5
오늘도 잘먹었습니다ㅎ,5
급하게먹느라 사진을못찍었네요  맛있게잘먹었습니다,5
양도 많고 맛있었요. 배달이 좀 더 빠르면 좋겠어요,5
사장님 배송주소변경문제 해결하는 말투 좀 예의없어요.제가  소비자 예요.돈안줘는거 아니예요.이미주문 했어요.취소하지 않습니다~켤구배달 기사님 다른주소 도착해서 전화해줘서 변경했어요.배달기사님 원전 짱.좋은분예요~너무 수고가 많았어요.,1
오늘두잘먹었습니다 감사합니댜,5
잘먹었습니다,5
맛 양 모두 만족합니다 맛있게 잘 먹었습니다,5
짱맛있음 ㅎㅎ 양도 많아요 ㅌㅋㅋ,5
제육맛있어용! 순두부는 쫌더 찐하게 얼큰하면 더맛있을듯!잘먹었습니당,5
오랜만에 주문시켰는데 맛은 여전하네요 굿~,5
맛은 맛있는데 배달이느려서 눅눅했어요ㅠㅠ,5
너무 맛이 없음 밥 먹고 짜증나긴 첨 ㅠ,5
잘먹었습니다,5
맛있어요  근대반찬이너무적네요,1
