reviews,scores
항상 맛있게 잘 먹고 있습니다,5
믿고 먹는 길초밥! 맛있게 잘 먹었습니다!!,5
빠르게 배달와서 잘먹었습니다!,5
넘 맛있어요. 사장님도 친절하시고...^^,5
냉모일 넘나 맛있어요. 그니고 초밥은 양이 좀 적으나 맛납니다,5
맛있습니다 ㅎㅎ 혼자 다 못먹을정도로 많았네요 ㅎㅎ,5
맛있게 잘 먹었습니다,5
맛있어요 같이온 우동도요 또 시켜먹을거 같아용,5
배달도 거의 20분만에 왔어요ㅠㅠ 진짜 짱 맛있고 늘 믿고 먹어요😍❤️,5
맛나게 잘 먹었습니다! :),5
네~~ 좋았습니다 가보자가보자,5
초밥이랑 우동 너무 맛있어서 순삭했어요 ㅋㅋ 담번엔 우동 두개 추가해서 먹어야겠어요 잘먹었습니다~~,5
맛있게 잘먹었습니다~,5
오랜만에 초밥 땡겨서 시켰는데 항상 맛있어요ㅎㅎ,5
변함없이 맛있음. 가끔 재료 다른게 있어서 재밌음,5
존맛탱구리 완전 맛있어요,5
꼬소...  하이....처지기네,5
운동가야돼서 조금밖에 안시켰는데 정말 맛있었어요! 담엔 더많이먹을예정 리뷰이벤트 있는줄 모르고 못했는데 담엔 꼭 해야겠네요 ㅜ,5
양도 많고 맛있어요,5
초밥 구성도 좋고 맛도 좋아서 자주 먹습니다.ㅎㅎ,5
아주 맛있었습니다 다음에 또주문할게우 ㅎㅎㅎ,5
맛있고 배달도 빨리왓어요~~,5
초밥 땡겼는데 맛있게 잘 먹었습니다! 우동도 식지 않고 와서 맛있었어요! 리뷰이벤트로 주신 초밥도 불향 가득하고 부드러워서 맛있더라고요!! 무엇보다 서울대 1인분도 배달 가능이라니ㅠㅠ 초밥 땡기면 재주문 해야겠어요!! 사장님 번창하세요;),5
언제나 존맛 ㅜㅜㅜㅜ 신림에서는 무조건 길초밥 ㅠ,5
맛있게 잘 먹었어용 ㅎㅎ,5
신림 초밥은 무조건 길초밥드세요,5
든든한 한끼 식사 아주 좋아요! 먹는 내내 기분 좋아서 흐뭇한 표정으로 먹었습니다.,5
음.... 꿀맛...,5
좀 늦게와서 국물이 다 식었어요 ㅜㅜ 그치만 너무 맛있었습니다 🙂🙂,5
잘 먹었습니다!! 다음에 또 시킬게요,5
잘먹었습니다 많이파세요,5
맛있게 먹었어요 ㅎㅎ,5
맛있습니다ㅎㅎㅎㅎㅎ,5
"양도 많았고, 우동도 맛있었습니다. 감사히 잘 먹었습니다",5
연어초밥이랑 양파랑 같이 먹는 걸 너무 좋아해서 요청드렸는데 잔뜩 주셔서 정~말 맛있게 먹었어요! 그리고 제가 불초밥류는 즐기지않는데 이벤트로 주시는 초밥..정말 맛있어요ㅋㅋ 근처 초밥집은 웬만큼 다 먹어봤는데 여기가 제 입맛에 젤 잘 맞네요,5
맛있어요 맨날 먹는거 같습니당,5
맛있게 잘 먹었어요! 야채도 많이 들어 있어서 좋았습니다. 👍,5
양도 좋고 서비스 초밥도 너무 맛있었어요!! 우동 국물을대접으로 줘서 놀랐습니다 ㅋㅋㅋㅋㅋ 다음에 또 시켜 먹르려구요~,5
초밥이 입에서 녹는건 처음이네요 초밥들이 부드러워서 먹기 좋았어요 장국도 맛있었고요 한끼를 가볍게 먹기에는 좋은 양 같은데 배고플때 먹기에는 적은거같아요 아무튼 잘먹었습니다,5
배고파서 후다각 먹느라 사진 딱 하나 찍었네요 ㅠㅠ 초밥 오랜만에 먹었는데 너무 맛있었어용 우동 국물도 맛있어서 좋았습니당,5
엄청맛있어요!!!!!역시 초밥은 길초밥,5
배달도 빠르고 맛있습니다,5
갑자기 사정이 생겨서 전화로 이것저것 부탁드렸는데도 친절히 응대해주셨습니다. 기사님도 친절하셨구요 초밥도 맛있게 잘 먹었습니다.,5
초밥 13 피스 세트  약간 생선이 안신선한느낌..,4
타코와사비 넘 맛있어요~,5
맛있게 잘먹었습니다!,5
회덮밥 정식 너무 좋아요~ 요청사항에 대해서도 문제가있었는데 친절하게 전화주셔서ㅎㅎ 고객응대를 너무 잘하시네요~ 덕분에 기분좋은 한끼 먹었습니다!,5
맛있었어요!!냠냠먐,5
배달 빠르고 요청사항도 잘 들어주셔서 감사했습니다. 간장도 뿌려먹기 쉬워서 아주 좋았습니다 맛도 너무 맛있어요,5
맛있게 잘 먹었습니다 :),5
맛있습니다 번창하세요,5
배달빨라요,5
맛있어요!,5
먹을만 하네요 잘먹었습니다,5
굿굿 양도 많고 맛잇어요 !,5
항상 너무너무 맛있습니다!!ㅎㅎ,5
재택근무 점심을 챙겨주는 길초밥 ㅠㅠ 넘 조아용,5
푸짐하게 잘 먹었습니다,5
맛있게 잘 먹었습니다,5
첫 주문 이었는데 너무 맛있게 잘먹었습니다 락교랑 생강 넉넉히 주셔서 진짜!!! 좋았어요 담에도 시켜먹을께요,5
맛있읍니다 또먹고싶으네요,5
양이 ㅜ너무  작고  신선하지 않아서   별로  였습니다.  쟂 문은  힘들것  같아요,3
배달은 엄청 빨라요 초밥은 맛은 괜찮은데 너무 부서져요,4
맛있게 잘먹었습니다,5
역시 존맛탱!!! 배달도 엄청 빠르네여 ㅎㅎ,4
리뷰참여 한다고했는데 저는 서비스초밥이 안왔어요🤍 다른분들은 받으셨는데 저만 못받은것 같아서 서운해요🤍 VIP구성초밥은 처음 시켜봤는데 맛있게 잘 먹었습니다🤍,5
길초밥먹고싶어서 매장찾아갔었는데 횟집으로바껴서슬펐음ㅜㅜ그치만배달이되서다행 맛있어요,5
맛있고 배달도 예상보다 빨랐어요!! 간이 너무 쌔지 않아서 후루룩 먹은것 같아요~^^,5
먹던맛 그대로 맛있어요~,5
초밥 상태도 너무 좋고 맛있었어요😊😊😊 잘 먹었습니다!!,5
빠르고 맛있어요 매번 여기서 먹어요,5
조합도 괜찮고 맛있어요!,5
항상 맛있게 잘 먹고 있습니다~ 역시 초밥은 길초밥!!,5
며칠 전에 소고기 초밥 먹고 넘 맛있어서 또 먹었어요. 리뷰 쓰느라 사진 보니 또 먹고 싶네요. 잘 먹었습니다.,5
황새치 불초밥... 감동스런 맛.. 담에 주문시에는 황새치 메인으로 시켜야겠어요ㅎㅎ 번창하세요  (다만 우동국물이 세서 왔어요),5
맛있었습니다~~!!,5
배달도 빠르고 맛있게 잘 먹었습니다!!,5
양도 적당하고 초밥 맛도 좋아요,5
연어가 없어서…다른걸로 받았네요…,5
생각보다 초밥 많은양은 아닌거같아요 배가 덜차네요~~그래도 맛은 있었어용!,4
처음 먹어봤는데 맛있네요. 또 사먹겠습니다!,5
너무 맛있어요!!!,5
깜빡하고 리뷰이벤트 신청을 안 했더니 초밥도시락이 조금 허전하네요ㅎㅎ 그래도 잘 먹어서 별 다섯개 리뷰남깁니다 #식후감,5
맛있어요 감사합니다.,5
항상 너무 맛나고 배부르게 먹고 있네요!!!,5
"전복 없다고 우니로 대체해주셨어요. 근데 원래 포함된 우니 말고 추가로 주신 우니가 상대적으로 양이 쫌 적어서 아쉬웟습니다.  전에 2인 세트 먹고 감동받았었더랩니다. 이번에 주문하려고 보니, 메뉴에 2인 세트 없어졌네요 요즘 경기가 어려워서 많이 힘드시지요... 꾸준히 번창하셨으면 좋겠습니다. 사장님, 건강하세요.",5
맛있었어요 다음에도 시켜먹을게요.,5
리뷰가 넘 늦긴했는데 맛있게 잘 먹었어요~,5
리뷰이벤트로 추가로 초밥 2pcs도 받았네요^^ 가성비 괜찮습니다~,4
