reviews,scores
몸이 아야해서 시켜먹얶어욘,5
맛있게 잘 먹었씀니다~~~,5
간단히 먹으려고 시켰는데 맛 있네요 급하게 먹어서 사진 못 찍음.,5
든든하고 맛있었어요^^,5
고기양이 많고 맛있어요 밥 한그릇다먹고도 고기가 남았어요 밑반찬도 깔끔하게 와요 👍,5
제육은 매콤하지만 맛있었어요,5
일단 리뷰 쓰기가 조심스럽네요! 잘못된 개인적인 느낌으로 업주분에게 피해를 주는 사례들도 있어서요. 일단 사진 첨부합니다. 보내주신 밑반찬에 곰팡이가 피었습니다ㅡㅡ 일단 통화는 했고요. 그리고 진심 어린사과와 여러 사정듣고 사람이 하는일 그럴수도 있겠다 나름 이해는 했습니다. 그래도 이렇게 후기 남기고 사진 남기는건 업주분들도 늘 기본적인 위생은 가벼이 여기지 말고 항상 주의를 기울여 달라는 당부 차원에 리뷰 남깁니다,1
여기 제육 왜이리 맛있나요.. 중독될듯,5
맛있게잘먹었습니다 번창하세요,4
맛있어요!!!!!!,5
순두부찌개는 맛있네요,5
간만에 닭도리탕으로 시켰는데 맛있네요,5
60분예정인데 40분만에 왔어요 맛있어요,5
맛있게 잘 먹었습니다,5
맛잇게잘먹었습니다,5
맛있게 잘 먹었습니다,4
맛있게 잘먹었습니다.,5
너뮤 마시써여 첨시켰는데 쌈도 넉넉하고 굿굿!,4
만두국 양도 많고 존맛탱,5
항상맛있게먹고있습니다ㅎ,5
맛잇게잘먹었습니다,5
맛있게 잘먹었습니다,5
맛있게 먹었습니다,5
"이 가게 제육 너무 맛있어요,, 최고",5
항상맛있게먹고있습니당ㅎ,5
"자주 시켜먹는 집은 이유가 있죠, 가성비와 맛이 최곱니다",5
제육먹다가 루피되는줄 알았넹 이아파 리얼 팩트만 적습니다 품질: 냉동고기중 최하 맛: 하 양: 하중 제일 맛있는거 도시락김(500원?) 김 맛집,1
너무 맛있게 잘 먹었습니다 ㅎㅎ,5
혼술하기 딱 좋아요 ㅎ,5
맛있게 잘 먹었습니다,5
맛나게 잘먹었습니다^^  근데 강된장제육쌈에 쌈이너무없어요 ㅠ 강된장은 3일 먹을듯,5
먹지도 못 했어요 왜,2
다 좋았어요     .,5
현관 미친 듯이 종 누르지 좀 말고 배달원 메모 좀 보라해주세요,3
현관 비밀번호 썼는데 종은 미친듯이 누르네요,3
단골 맛집입니다~ 양많아서 2끼 맛있게 잘먹었어요,5
맛있습니다 잘먹어썽요,4
항상 맛있어요!^^,5
구성은 좋은데 고기 상태나 맛이 랜덤이라 아쉬워요,5
대박 대박 재박 대ㅏ,5
잘 먹고 있습니다..감사합니다~,5
맛있어요......,5
양 많고~ 맛나고~ 음식이 정갈하고~ 친절하시고~~ 배달이 빠릅니다~^^ 감사합니다~ 사업 번창하세요~^__^,5
배달도 빠르고 맛있었어요! 간이 좀 싱겁긴 했어요..,5
순두부 먹고싶을 땐 여기서 ㅎㅎ,5
속이 쉬윈하니 너무 맛있었어요^^,4
순주부 맛있어요 .,5
요번엔 돈이 좀 아까웠어요ㅠ,4
나물비빔밥 잘먹었어요,5
개꿀맛        .,5
양도  푸짐하고  없는 메뉴가 없네요!!ㅎㅎ,5
오랜만에 먹어도 맛있네요,5
맛있구깔큼하구좋았어요,5
배달도 빠르고 맛있어요,5
잘 먹었습니디. 배달 진짜 빨랐어요~~,3
이쯤되면 이집에서 맛없는게 있을까?  모든 메뉴가 다 맛있어서 새로 도전해도 성공이네요 감사합니다 잘먹었습니다,5
우렁된장 짜다는 글 많은데 개선해야될것같아요 무조건 소금덩어리 먹는줄 알았어요 너무짜요,3
굳굳굳굳 잘먹었어요,5
