reviews,scores
여긴 항상 맛있어요 막국수도 개운함,5
장사가 잘 되는 이유가 있었어요. 잘먹었습니다.,5
정말맛있대잘먹었습니다,5
간만에 먹었는디 역시 맛있어요,5
족발 양이 많고 맛있게 먹었습니다.다만 막국수 소스가 부족하게 와서 못먹어서 아쉽네요,5
맛있게 잘먹었습니다,5
매운족발 너무 좋아요 쟁반국수 서비스도 감사합니다.,5
항상 배달도 빠르고 서비스로 주신 막국수 양도 많아요 보쌈이 잡내가 없고 맛있는데 이 날은 조금 퍽퍽했네용 ㅠ,5
반반대 시켰는데 양도 별로이고 포장상태도 별로고  그냥 별로 이네요,1
너무맛있게 잘먹었습니다.,5
배달 완전 빨리 가져다 주셔서 깜짝 놀랐네요 이번엔 친정 부모님과 함께 먹었는데 너무 맛있다 하시네요~,5
이 집을 왜 이제야 발견했을까요..너무 맛있네요 잘먹었습니다,5
오랜만에 시켜먹었는데 여전히 맛있네요 족발이 쫄깃하고 부드러워요,5
맛있게 잘 먹엇습니다,5
양도 푸짐하고 맛있어요~~감사합니다,5
헉.. 너무 늦게 리뷰써서 죄송합니다 그당시 너무 맛있게 잘먹어서 리뷰 조차 생각을 못했네요.. 늦었지만 너무 잘먹었습니다.,5
어 너무 급하게 먹느랴 사진이 맛없어 보이네요ㅜㅜ 잘먹었습니다.,5
양도 푸짐하고 구성도 딱 좋고 너무 맛있습니다!!,5
화정족발은 언제나 맛있어요! 3명이서 배부르게 잘 먹었습니다 :),5
배달 빨리와서 좋아요.맛도 있고 양도 많네요,5
막국수 맛있네요ㅎ하하,4
맛있고 빨리 와서 좋았어요,5
맛있어요 항상 여기만 시키네요,5
아주 맛잇습니다 마니시켜드새요,5
배달도빠르고맛도변함없이맛있어요,4
자주 포장해먹어용! 막국수도 족발도 맛있어요👍🏻,5
100살된 돼지살 처럼 늘어짐 전날 삶은걸 다음날 아침에 팔면되나요 족발이 축축늘어지네요,1
화정족발에 흥분해서 먹느라고 아차했어요. 먹으면서 찍었죠. 역시 따끈하게 먹을때는 세상부드럽고 맛나요. 아이들이 아직 어린데 화정족발 막국수를 엄청 좋아해요. 매운데도 잘 먹어요. 저희 부부도 역시 좋아해요. 정말 맛있어요. 오늘은 족발양이 평소보다는 적은 느낌이어서 조금 아쉬웠지만 아주 만족스러워요.,5
앗 족발 막국수 셋트를 했더니 막국수가 너무 많아요 ㅋㅋㅋㅋ잘먹겠습니다,5
항상 맛있는 반반 족발과 막국수 최고~! 오늘도 매운족발 너무 맛낫어용~~^^ 역시 족발 최고 맛집~!꼭 드셔보세요 후회하지 않으실거예용~,5
"리뷰 믿어도 될지 반신반의하면서 처음 먹어봤는데, 맛도 좋고 양도 좋고 구성도 좋고 서비스도 좋고 만족합니다!!  또 시켜먹으려구요.  많이 파세요~!",5
맛있게 잘먹었습니다,5
항상 맛있게 잘 먹고있습니다,5
맛있네요 ㅋㅋ 담에또시킬게요,5
음료는 당연히 올 줄 알았는데.. 없어서 아쉬워요 ㅠ 음료 포함 안 된다고 써 주시면 좋겠어요∼,5
포장도 깔끔하고 정기적으로 시켜먹는 곳! 배달료가 좀 나오긴 하지만 포기 할 수 없음!(무김치는 호불호 있음),5
맛있어요!!!! 족발을 끝까지 남김없이 먹었던 적이 손꼽아요.  근데 이건 진짜 마지막 한점까지 맛나게 냠냠 했음다. 막국수도 넘 맛있어요 :),5
맛있게 먹었어요~~ 근데 족발 양이 좀 준것같아요,5
오랜만에 족발생각나서 시켰는데 여전히 맛있어서 감사합니다~,5
맛있고 양도 좋아요 한방향이 좋구요 잡내없이 쫀득하고 부드럽습니다 막국수도 맛있었어요,5
늘 재주문 합니다~ 맛있습니다,5
족발 양도 많고 서비스 막국수 잘 먹었습니다 ㅎㅎ,5
