reviews,scores
너무 맛있게 잘 먹었습니다 감사합니다,5
언제 먹어도 맛있어요!!,5
사진을 안찍어서 저번에 시킨걸로 대신합니다 여러분 곱배기시키세요!!!!!,5
맛있고 배달 빨라요,5
잘 먹었습니다~~~,5
매번 맛있어요 감사합니다,5
생각해던거보다갠찬아었요,5
배송도 빠르고 해물이 푸짐하니 맛있게 먹었어요,5
마싯어요 차돌짬벙!,5
너무 맛있어서 중독됐어요,5
너무 맛있어요. 근데 가게 이름은 짜장이 대표 메뉴인 것 같은데 탕수육 > 짬뽕 > 짜장 순으로 맛있음.,5
맛있게 잘 먹었습니다 ㅎㅎ,5
둘이먹어도 배불러요!잘먹었읍니다!,5
짱맛잇고배달도빠르고서비스도좋아요,5
오늘도 기대만큼 굿,4
탕수육이 존맛임ㅋㅋ,5
그냥… JMT였다.,5
빠르게 잘 먹었습니다. 탕수육이 진짜 맛있어요.,5
맛있고배달도빨랏어오,5
항상 너무 맛있어요!!,5
맛있게 잘먹었습니다 근데 리뷰 군만두 서비스는...없어서 슬펏어요,5
밥이 약간 설익은 듯했고… 탕수육은 맛있었지만 끝에 케첩이 묻어있던데 설마 재활용은 아니길 바랍니다.,4
이사날에는 짜장면 만한게 없죠 ㅎㅎ 배달기사님이 정말 친절했습니다. 감사합니다!!,5
👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,5
친절하게 음식 잘받고 잘 먹었습니다.,5
근래 먹은 중국 요리 중에 제일 맛있었어요! 탕수육 소스 따로 부탁드렸는데 잘 챙겨주셔서 맛있게 잘 먹었습니다.,5
서비스도 좋고 맛나게 잘먹었습니다~,5
아침부터 짜장면이 먹고싶대서 어른2 10살미만 아이3이 먹으려고 시켰는데 많이 남았어요. 양 푸짐하네요!! 서비스로 주신 군만두는 딸아이가 혼자 다 먹었어요. 너무 맛있나봐요. 차돌해물짬뽕 건더기도 많고 원하는 맛이네요~!! 너무 급히 먹어서 사진이 없어요.잘먹었습니다,5
너무너무 맛있어요!,5
기사님 친절하시고 맛있어요 다만 고기살이 붉은게 덜익은게 온건가 싶어서 조금 찝찝하긴하네요,5
잘 먹었습니다~~!,5
맛있게 잘 먹었습니다.,5
배달도 너무빠르고 맛도 좋았어요. 요즘 배달료 없는 곳 찾기힘든데 서비스도 너무 좋으신 것 같아요! 잡탕밥에 해물도 많이 들어가있고 살짝 얼큰한게 밥숟가락이 계속 들어가더라구요😂 리뷰이벤트로주신 군만두도 맛있게 먹었습니다!,5
배달이 엄청 빨랐어요,4
맛있게 잘먹었습니다~!,5
점심시간 시간에 시켯는데 엄청 빨리 왔어요~,5
잘먹었습니다 ㅎㅎ만두감사해요,5
ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ,5
맛나게 잘먹었습니다,5
짬뽕이 제게는(신라면 조금 매워함) 매웠어요 그래도 맛있게 잘 먹었습니다,5
배달도 빠르고 맛있게 잘먹었습니다~,5
너무 맛있었습니다. 탕수육 소스를 따로 달라고 해서 따로 넣어주셨네요. 요청을 들어주셔서 감사합니다.,5
좋아요 좋아요좋아요좋아요,5
군만두 짱맛있고 짜장면 짱 많아,5
젓가락이 엏ㅅ네요우,5
오랜만에 시켰는데 맛나요,5
