reviews,scores
잘 먹었습니다! 감사합니다,5
"사랑해요 직구삼♡  화이자 2차 맞고 무기력 비실비실.. 직구삼 꼬기 먹고, 원기회복 했네요ㅎㅎ  이벤트 쐄 무한감솨^.~",5
쿠폰 모은거 자랑하려고 들떠있었는대 와.. 볶음밥 뭔가요??? 특허내셨나요??? 와 대존맛!!! 다른건 늘 먹던거라 오늘도 완벽인데 볶음밥 완전!! 숟가락을 못놓겠어요~~~~ 담번엔 2인분 시켜야지 저 먹느라 좀 바빠서 이만,5
허겁지겁 먹는 와중에 찍었습니다. 너무 맛있었습니다!,5
고기 먹고 싶을땐 무조건 여기서 시킵니다 맛있어요,5
맛있게 잘먹었습니다^^,5
잘먹었습니다 ㅎㅎㅎㅎ,5
항상 맛있게 먹는 음식점 중 한곳이에요. 리뷰가 늦었네요.  추천합니다!!!!,5
고기 생각보다 더 많아서 좋네요 맛있었어요,5
항상 잘 먹고 있습니다.,5
주문하고 나서 거의 10분만에 배달 와서 깜짝 놀랐어요 언제부터 로켓 배송 시작하신 거죠…?👀 리뷰이벤트로 쌈 추가 했는데 많이 주셔서 너무 좋았습니다 저나 애인이나 고기 먹고 싶을 땐 항상 직구삼에서 시켜요 앞으로도 번창하세요👏,5
맛있습니다 서비스소세지도 진짜좋아해요,5
직구만큼 빠른 배달과 따뜻한 음식.. 변함없이 잘먹었습니다^^ 질기지 않고 잡내없는 고기 쵝오!!!  1타 고기집 가즈아~~~,5
늘먹던 메뉴세트가 없어져서 다른걸로했네요 역시 맛은 좋아요!!,5
양 배달 맛 모두 최고입니다,5
좋네요 !!!!!!,5
맛있게 잘먹었습니다,5
항상맛있고 모듬사리도 너무 좋네요,5
언제나 고기는 직구삼~!! 완전고기만이 사라져서 아쉽 ㅠ,5
양이 되게 많았고 여러 반찬이랑 먹으니까 더 맛잇는거같아요. 강추!,5
마싯엇어요 ㅎㅎㅎㅎㅎ,5
맛있었고 배달도 빨라서 좋았습니다!,5
삼겹살 땡길때마다 잘 먹고 있음,5
"변화구 아님.. 강속구 직구삼!!!   ㄱㅣ가 막히게 잘먹었습니다^^ 다시는 고깃집 찾아 여기저기 주문 안할게요ㅜ  기름기 없는걸 좋아하는데, 담백 깔끔한 고기와 구운마늘의 콜라보 정말 최고네요^^ ㅎㅎ  *리뷰이벤트-쌈.. 성의가 느껴져 더욱 좋았습니다!!!  단골 가즈아~~~♡",5
사장님 잘 받았습니다 근데 파닭 드시고 파시는거죠?? 다 버렸습니다 걍 겨자+물이네요!!,5
이번에도 맛있게 잘먹었습니다!,5
"시간 맞춰 배달도 왔고, 맛있어요.",5
고기가 정말 맛있네요 가끔 시켜먹는데 변함없이 맛있어요 그래서 항상 양이 아쉽네요 ㅎㅎ,5
맛있게 잘 먹었어요 고기도 많고 좋아요,5
완전히 핵맛 존맛입니다 ^^,5
볶음밥 맛있네요 직구삼은 항상 옳습니다,5
너무 맛있게 잘 먹었어요!,5
맛있네여어어어!!!,5
저번에 한번먹어봣는데 괜찮아서 또주문했는데 오늘은 좀 별로네요.. 양이 너무 적어요 그리고 먹다가 반찬에서 머리카락이나왔네요,2
직구삼 돈냉 끊을수가 없네요,5
항상 맛있어요!!!,5
너무 맛있습니다! 배달도 정말 빠르고 양도 많고 음식도 금방해서 정말 따뜻하구요!,5
빠른배송 감사합니다 맛도 짱!!! 잘 먹었습니다^^,5
마잇엇어요 ㅎㅎㅎㅎㅎ,5
양도 많고 맛도있었습니다,5
세 번째. 주문입니다. 너무너무 식어서 왔어요. ㅠㅠ 딱딱해져서 맛이 없어요,2
간만에 시켰는데 역시나 맛있네요. 쿠폰사용해서 고기도 훨씬 푸짐하게 먹었어요. 메모사항도 잘 들어주시구 만족스런 식사였어요.,5
존맛탱 비빔국수인가 그거 꼭머그세염 ㅋㅋㅋㅋㅋ 다른것도 존맛 ㅎ,5
정말 배부르고 맛있게 먹었어요!!,5
언제시켜도 맛있네여 간편하고조아용ㅎㅎ,5
믿고 시키는 직구삼 포장 뜯기도 전에 씁니다 굿,5
맛있게 잘 먹었습니다,5
양도 많고 맛있고 배달도 빠르네요 잘먹었습니다,5
맛있게잘먹었슴니다,5
맛있게 잘 먹었습니다! 좋아요~,5
일단 맛있어요 배달로 하는 고기집 중에 가장 고기가 부드럽습니다~ 배달도 예상 시간보다 훨씬 빨랐어요 ㅋㅋ 배가 너무 고팠어서 받자마자 먹는 바람에 사진은 못 찍었네요 믿고 먹는 직구삼입니덩,5
맛있네요 김치찌개는 첨 시켰는데 얼큰하네요,5
맛좋고 양도 괜찮고요,5
양도 많고 완전 맛있었습니다!,5
역시나 언제나 고기는 직.구.삼.뿐~!!,5
ご馳走様でした~~~~~~,5
맛잇게 잘 먹엇습니다,5
맛있게 잘 먹었습니다~~!!!!!,5
식지않고 배달도빨리왔네요~ 리뷰서비스도 많이주셨네요^^ 잘먹을께요.,5
양이 진짜 많고 맛잇었습니다.,5
배달 빠르고 맛있네요 서비스 계란찜도 훌륭해요,5
백신접종하고 고기가 땡겨서 올만에 시켰는데 여전히 맛있네요. 잘먹었습니다.,5
맛있게 잘 먹었습니다.,5
와 진짜 양많고 맛있어요ㅠㅠㅠ 특히 김치볶음밥 최고네요 또시켜먹을게요!!,5
오랜만에 주문햤는데 돼지 비린네가 너무나서 1/3먹다 포기했네요. 계속 먹다 뱉고 반복하다보니 화가합니다. 사장님은 관리 하셔야 할것 같네요.,1
항상 잘 먹고 있습니다,5
맛있게 잘 먹었습니당!!,5
후..너무도 맛나다 진짜 환장하굿네잉 ㅠ 벌써 쿠폰 5장 모음 ㅇㅂㅇ,5
자주 시켜서 먹는 곳입니다 빠르게 갖다주시고 맛도 좋아요,5
비빔면은 따로 해서 잘 먹었네요,5
잘먹겠습니다~ 다음에도 시킬게요~,5
맛있고 양도 많아요,5
맛있게 잘 먹었습니다^^,5
맛있게 먹엇습니다.   양이 많아서  다먹느라  고생좀 햇다구욤 후후,4
언제먹어도 맛있어요  또 주문할게요!,5
맛있게 잘 먹었습니다 사진도 잊을만큼,5
항상 잘 먹고 있습니다.,5
늘 시켜 먹는 삼겹살! 삼겹살 배달의 원조급 ㅋㅋㅋ 오늘도 맛있게 잘 먹었습니다!,5
맛있게 잘먹었습니다,5
잘 먹었습니다...감사합니다!,5
배달빠르고 양많고 맛있습니다,5
오랜만에 시켜먹었는데 역시 너무 맛있습니다. 배달도 정말 빠르고 양도 정말 많습니다.,5
여기 고기만 시켜요 너무 맛있어요!,5
