reviews,scores
맛있게 먹었어요  ㅎㅎㅎㅎ,5
돼지김치찜 땡겼는데 맛있네요~ 양이 무엇보다 엄청 많았습니다,5
너무너무 맛있어요!!,5
저 고기 질기면 절대 안 먹는데 이건 진짜 부드럽고 맛있네요ㅜㅜ 소스도 넘 맛있고... 가격도 괜찮아요 재주문의사 100,5
생각보다는 안매워써요~~ 그리고 국물이 흐려서 그릇에 범벅이 되어써요 ~~ 밑반찬은 필요 없다고 글 남겨는데 안보셔는지 같이 보내셔네요 ~~ 떡볶이랑 튀김 맛있게 먹을께요 ~~,4
너무맛있게해주셔서감사해요  서비스도 맛있게잘먹었습니다!!,5
잘 먹었습니다 많이 파세요,5
"양이 진짜 많아요, 1끼로는 무리 ㅋㅋ! 생각보다 더 매웠지만 맛있게 잘 먹었어요~",5
그냥 무난했는데 제 취향은 아니었어요. 싱겁고 밍밍했던걸 보면 간이 좀 안맞았고 매운맛!까진 아니어도 살짝 매콤함이 있었으면 좋았을 것 같았어요ㅠ 갈비찜인데 맛있음이 아니라 아쉬움이 남긴 처음이라... 다음엔 안시킬 것 같습니다ㅠ 매운거 못드시는 분들은 먹기 좋을 것 같긴해요. 어쨌든 잘먹었습니다,4
리뷰써야하는데 사진찍는걸 깜빡했어요 냄새에 환장해서…,5
맛잇어요!!다음에 또 주문하겠습니다.,5
쫌 뭔가 진한 맛은 없는거 같아요,4
항상 최고입니다 맛잇어요,5
맛있게 잘 먹었습니다.,5
잘 먹었습니다 ㅎㅎ,5
맛납니다 강추강추 입니다,5
배달 예정 시간을 조금 넘겨서 왔는데 변함 없이 푸짐한 양에 잘 먹었습니다.,5
맛있게 잘 먹었어요 ㅎㅎ,5
사장님께서도 너무 친절하시도 집밥 먹는기분이었습니다 다음에 또 시키겟습니다^^ 번창하세요,5
너무 맛있게 잘먹었습니다 다음에 또 시켜먹을게요!!,5
#식후감 맛있게 잘 먹었습니다.,5
처음시켜봣는데맛있네요!근데갈비찜시켯는데  잡채고기처럼얇게오던데 맞나요,5
맛잇어요 양많고 저렴합니다,5
맛있게.잘먹었습니다,5
맛있게 잘 먹었습니다~,5
진짜 맛있어요!! 매콤하고 콩나물 고기 양도 많고!!! 후라이도 주셔서 딱이네용 ㅎㅎ 매콤한거 땡길때  자주 시켜먹을듯!!,5
와떡볶이존맛탱 즁당은 추가 안하는걸로 메모~~,5
omg 처음 시켜먹었는데 맛있어서 나중에 또 시켜먹으려고요ㅠ 담엔 김치찜 도전. 떡볶이도 먼가 옛날떡볶이 맛 나서 맛있었어요 감사합니다 ~!~!~,5
양많고 맛잇어여 완전 배터지게 먹었음 !!!,4
부연 설명이 필요없는 맛집 잘 먹었습니다 !!!! ❤️‍🔥,5
진짜 맛있어요 ㅎㅎㅎㅎㅎㅎ,5
빠르게 받아서 맛있게 먹었어요.밥 양 어마어마하네요. 감사합니다^^!!,5
18천원짜리(배달포함) 메뉴인데... 조금 아쉬웠어요 갈비찜은 다시 먹을것 같은데 묵은지닭도리탕은 ... 많이 아쉬워요. 배달은 엄청 빨라서 좋았어요.,4
배달빠르고 정말맛있게 잘 먹었습니다!,5
일단 밥양이 짱짱 많아여 ㅋㅋㅋㅋㅋ고기는 한 일곱덩이? 있는거 같구여 다른 재료는 음… 무 하나 떡 하나 엷은 당면 두줄 들어있습니다,5
잘 먹었습니다 많이 파세요,5
유일하게 늘 먹던걸로  를 시전할수있는 찐맛집,5
벌써 몇번째 시켜먹은디 모르겟어요 항상 감사히 맛나게 먹고 잇습니다~,5
늘 먹는 맛있는 매운 갈비찜♡ 부족한게 없어용,5
묵은지닭도리탕을 시켰는데 매운갈비?가 왔어요... 확실히 닭고기는 아닌것같아요,2
너무 맛있습니다! 요즘 속이 안좋아서 매운걸 못먹는 관계로 자주 주문하지 못하게 됐지만 제 최애 매운찜집인건 변함없습니다ㅎㅎ,5
감사해요 너무 맛있어써요,4
